no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,063501F011,서귀포 대정읍,2020-01-01,4.5,8.2,1.5,66.7,8.1,1.4,9.0,0.0,,11.0,,,,,2020,1,1
2,063501F011,서귀포 대정읍,2020-01-02,6.4,10.0,1.4,75.1,354.2,0.7,4.8,0.0,,4.9,,,,,2020,1,2
3,063501F011,서귀포 대정읍,2020-01-03,7.7,11.3,4.3,73.6,333.8,1.2,6.6,0.0,,6.7,,,,,2020,1,3
4,063501F011,서귀포 대정읍,2020-01-04,6.9,11.7,1.8,73.3,351.1,1.2,8.0,0.0,,12.1,,,,,2020,1,4
5,063501F011,서귀포 대정읍,2020-01-05,9.1,15.6,5.1,62.0,30.4,1.0,7.7,0.0,,10.2,,,,,2020,1,5
6,063501F011,서귀포 대정읍,2020-01-06,14.5,17.2,10.2,73.9,122.9,0.9,7.1,0.0,,1.6,,,,,2020,1,6
7,063501F011,서귀포 대정읍,2020-01-07,16.8,18.6,12.1,89.8,178.7,2.0,9.9,8.5,,2.1,,,,,2020,1,7
8,063501F011,서귀포 대정읍,2020-01-08,7.8,12.4,6.0,72.2,287.2,3.3,15.9,2.0,,2.6,,,,,2020,1,8
9,063501F011,서귀포 대정읍,2020-01-09,6.5,7.4,4.8,69.7,342.5,1.8,10.0,0.0,,3.5,,,,,2020,1,9
10,063501F011,서귀포 대정읍,2020-01-10,7.6,13.3,4.2,68.5,9.2,1.3,7.9,0.0,,12.1,,,,,2020,1,10
11,063501F011,서귀포 대정읍,2020-01-11,7.3,8.4,5.4,65.3,0.0,1.7,10.9,0.0,,5.0,,,,,2020,1,11
12,063501F011,서귀포 대정읍,2020-01-12,6.8,9.0,5.7,61.3,311.8,2.1,10.7,0.0,,6.1,,,,,2020,1,12
13,063501F011,서귀포 대정읍,2020-01-13,6.3,9.4,4.9,59.9,335.5,1.3,8.1,0.0,,7.3,,,,,2020,1,13
14,063501F011,서귀포 대정읍,2020-01-14,4.0,6.3,1.4,79.3,20.2,1.3,9.0,2.0,,5.7,,,,,2020,1,14
15,063501F011,서귀포 대정읍,2020-01-15,5.1,8.7,2.8,64.3,350.0,1.3,7.6,0.0,,8.4,,,,,2020,1,15
16,063501F011,서귀포 대정읍,2020-01-16,5.6,8.7,3.8,62.1,14.6,1.6,8.9,0.0,,6.1,,,,,2020,1,16
17,063501F011,서귀포 대정읍,2020-01-17,6.4,9.0,5.2,57.2,338.0,1.8,10.6,0.0,,11.7,,,,,2020,1,17
18,063501F011,서귀포 대정읍,2020-01-18,6.4,9.1,4.7,58.0,318.3,1.9,9.4,0.0,,6.9,,,,,2020,1,18
19,063501F011,서귀포 대정읍,2020-01-19,7.5,9.7,3.9,63.1,296.5,1.3,7.9,0.0,,2.1,,,,,2020,1,19
20,063501F011,서귀포 대정읍,2020-01-20,7.8,11.0,5.6,53.7,306.4,1.7,8.7,0.0,,10.6,,,,,2020,1,20
21,063501F011,서귀포 대정읍,2020-01-21,6.9,13.3,2.7,63.9,9.6,1.0,8.1,0.0,,12.8,,,,,2020,1,21
22,063501F011,서귀포 대정읍,2020-01-22,11.2,14.1,8.0,91.7,88.5,0.4,4.5,37.0,,1.3,,,,,2020,1,22
23,063501F011,서귀포 대정읍,2020-01-23,10.8,13.1,9.0,89.3,351.5,1.3,8.3,0.0,,7.8,,,,,2020,1,23
24,063501F011,서귀포 대정읍,2020-01-24,10.2,14.3,8.4,71.7,8.9,1.5,8.6,0.5,,8.0,,,,,2020,1,24
25,063501F011,서귀포 대정읍,2020-01-25,11.0,14.7,8.3,80.4,14.5,0.5,6.4,3.0,,3.3,,,,,2020,1,25
26,063501F011,서귀포 대정읍,2020-01-26,10.7,13.2,8.8,74.9,2.3,1.0,7.8,6.0,,4.1,,,,,2020,1,26
27,063501F011,서귀포 대정읍,2020-01-27,8.8,10.0,7.0,90.3,22.7,1.8,12.2,21.5,,4.5,,,,,2020,1,27
28,063501F011,서귀포 대정읍,2020-01-28,8.6,10.8,6.5,79.7,311.8,1.0,6.4,0.0,,5.6,,,,,2020,1,28
29,063501F011,서귀포 대정읍,2020-01-29,8.1,11.1,6.1,76.0,307.2,1.5,8.1,1.5,,8.6,,,,,2020,1,29
30,063501F011,서귀포 대정읍,2020-01-30,7.0,9.6,3.7,69.9,305.9,2.0,10.0,6.0,,6.7,,,,,2020,1,30
31,063501F011,서귀포 대정읍,2020-01-31,6.2,7.7,4.0,61.1,302.7,1.7,8.4,0.0,,4.5,,,,,2020,1,31
