no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,269804A001,음성군 소이면,2023-01-01,-2.9,4.8,-10.2,67.9,268.2,1.4,6.7,0.0,434.0,,0,-4.3,-0.2,4.6,2023,1,1
2,269804A001,음성군 소이면,2023-01-02,-6.5,0.8,-13.8,62.3,265.8,1.0,5.6,0.0,514.0,,0,-8.2,-0.1,4.6,2023,1,2
3,269804A001,음성군 소이면,2023-01-03,-7.4,1.3,-15.9,66.4,268.1,1.0,6.0,0.0,506.0,,0,-9.1,-0.5,2.8,2023,1,3
4,269804A001,음성군 소이면,2023-01-04,-5.7,3.8,-13.4,73.9,259.3,0.7,5.5,0.0,475.0,,0,-7.4,-0.7,2.0,2023,1,4
5,269804A001,음성군 소이면,2023-01-05,-6.0,3.0,-12.7,81.5,226.3,0.3,3.4,0.0,99.0,,0,-7.8,-0.8,1.8,2023,1,5
6,269804A001,음성군 소이면,2023-01-06,-3.9,6.3,-11.1,85.8,200.1,0.5,5.4,0.0,300.0,,3,-5.4,-0.8,1.7,2023,1,6
7,269804A001,음성군 소이면,2023-01-07,1.2,4.5,-5.7,82.4,265.7,1.8,8.1,5.5,88.0,,430,-0.3,-0.2,3.9,2023,1,7
8,269804A001,음성군 소이면,2023-01-08,-2.0,7.1,-8.6,84.6,211.0,0.3,2.4,0.0,404.0,,0,-3.6,0.0,6.6,2023,1,8
9,269804A001,음성군 소이면,2023-01-09,1.9,7.9,-3.8,79.1,251.7,1.1,6.0,0.0,213.0,,0,0.5,0.0,7.7,2023,1,9
10,269804A001,음성군 소이면,2023-01-10,-0.8,9.7,-7.2,83.1,190.2,0.5,2.6,0.0,423.0,,0,-2.3,0.1,9.2,2023,1,10
11,269804A001,음성군 소이면,2023-01-11,-0.2,10.6,-6.0,80.3,208.4,0.4,3.7,0.0,472.0,,0,-1.7,0.2,10.2,2023,1,11
12,269804A001,음성군 소이면,2023-01-12,1.3,14.2,-5.2,78.4,162.7,0.6,2.5,0.0,494.0,,10,-0.2,0.3,11.1,2023,1,12
13,269804A001,음성군 소이면,2023-01-13,6.1,11.0,1.9,95.1,330.0,0.3,3.4,13.5,0.0,,652,4.6,0.3,18.5,2023,1,13
14,269804A001,음성군 소이면,2023-01-14,6.5,8.6,4.0,95.3,309.6,0.6,4.7,3.5,0.0,,277,4.9,0.5,18.9,2023,1,14
15,269804A001,음성군 소이면,2023-01-15,1.4,4.2,-1.9,91.7,278.9,1.5,5.8,4.5,0.0,,557,-0.1,0.8,18.1,2023,1,15
16,269804A001,음성군 소이면,2023-01-16,-3.0,-0.4,-6.9,76.7,272.3,1.6,5.8,0.0,316.0,,0,-4.3,0.9,16.8,2023,1,16
17,269804A001,음성군 소이면,2023-01-17,-3.1,1.6,-7.1,76.3,156.3,0.7,5.8,0.0,246.0,,0,-4.5,0.9,15.5,2023,1,17
18,269804A001,음성군 소이면,2023-01-18,-1.2,3.7,-5.5,76.3,258.6,0.8,5.4,0.0,446.0,,0,-2.6,0.9,15.2,2023,1,18
19,269804A001,음성군 소이면,2023-01-19,-1.3,5.5,-7.6,75.1,183.2,0.9,11.8,0.5,447.0,,0,-2.7,0.9,14.6,2023,1,19
20,269804A001,음성군 소이면,2023-01-20,-0.5,4.4,-7.5,56.6,272.9,2.9,11.8,0.5,416.0,,0,-1.8,0.9,14.6,2023,1,20
21,269804A001,음성군 소이면,2023-01-21,-5.0,1.6,-10.3,71.1,223.9,0.8,5.4,0.0,530.0,,0,-6.3,0.9,13.9,2023,1,21
22,269804A001,음성군 소이면,2023-01-22,-1.4,3.3,-4.5,73.2,118.5,0.6,2.7,0.0,0.0,,0,-2.8,0.9,13.1,2023,1,22
23,269804A001,음성군 소이면,2023-01-23,0.4,6.7,-4.6,75.0,265.4,2.0,9.2,0.0,424.0,,0,-0.8,0.9,12.6,2023,1,23
24,269804A001,음성군 소이면,2023-01-24,-10.5,-1.9,-15.0,50.1,273.8,4.1,12.5,0.0,533.0,,0,-11.8,0.9,12.5,2023,1,24
25,269804A001,음성군 소이면,2023-01-25,-12.2,-5.5,-17.6,57.6,261.7,1.0,5.6,0.0,542.0,,0,-13.5,0.3,9.9,2023,1,25
26,269804A001,음성군 소이면,2023-01-26,-7.7,-4.3,-11.9,80.5,165.6,0.3,2.2,0.0,0.0,,185,-9.2,-0.1,5.9,2023,1,26
27,269804A001,음성군 소이면,2023-01-27,-8.9,-2.6,-17.1,65.4,278.1,2.1,10.1,0.5,468.0,,0,-10.6,0.0,5.5,2023,1,27
28,269804A001,음성군 소이면,2023-01-28,-7.5,-0.4,-16.2,64.7,259.7,1.2,7.7,0.0,483.0,,0,-9.0,-0.5,3.2,2023,1,28
29,269804A001,음성군 소이면,2023-01-29,-3.2,4.2,-12.1,75.7,221.7,1.6,8.6,0.0,291.0,,28,-4.6,-0.6,2.5,2023,1,29
30,269804A001,음성군 소이면,2023-01-30,-2.2,4.1,-9.8,61.2,278.6,1.6,8.8,0.5,541.0,,0,-3.7,-0.2,3.2,2023,1,30
31,269804A001,음성군 소이면,2023-01-31,0.0,8.9,-9.4,70.9,195.1,1.3,7.7,0.0,516.0,,0,-1.4,-0.3,3.5,2023,1,31
