no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,355831A001,보령시 주교면,2015-01-01,-3.6,-1.7,-5.2,8.7,316.9,3.2,11.3,0.0,23,,0,-3.8,2.1,,2015,1,1
2,355831A001,보령시 주교면,2015-01-02,-4.6,-0.3,-9.3,51.1,324.4,1.3,9.3,0.5,40,,171,-5.4,1.8,,2015,1,2
3,355831A001,보령시 주교면,2015-01-03,-2.7,4.4,-10.4,14.0,201.6,0.2,4.0,0.0,107,,12,-2.9,1.5,,2015,1,3
4,355831A001,보령시 주교면,2015-01-04,1.7,8.7,-2.9,6.8,197.8,0.4,4.5,0.0,0,,24,0.8,1.4,,2015,1,4
5,355831A001,보령시 주교면,2015-01-05,3.4,11.2,-3.6,45.0,326.8,0.7,6.7,14.5,0,,280,2.7,1.7,,2015,1,5
6,355831A001,보령시 주교면,2015-01-06,0.6,5.0,-3.5,40.3,310.4,3.7,10.0,2.5,372,,330,0.3,2.5,,2015,1,6
7,355831A001,보령시 주교면,2015-01-07,-3.2,1.3,-6.8,21.8,313.6,1.2,6.8,0.0,368,,0,-3.7,1.9,,2015,1,7
8,355831A001,보령시 주교면,2015-01-08,-3.1,2.3,-7.8,16.5,299.2,0.7,5.8,0.0,263,,0,-3.4,1.6,,2015,1,8
9,355831A001,보령시 주교면,2015-01-09,-0.8,3.9,-5.0,71.6,193.7,0.2,3.0,0.0,0,,52,-2.0,1.4,,2015,1,9
10,355831A001,보령시 주교면,2015-01-10,0.2,6.0,-5.5,13.5,174.3,0.8,5.0,0.0,168,,38,-0.7,1.3,,2015,1,10
11,355831A001,보령시 주교면,2015-01-11,2.6,6.6,-2.2,16.7,306.6,2.9,8.2,0.0,242,,0,1.6,1.3,,2015,1,11
12,355831A001,보령시 주교면,2015-01-12,-2.3,2.8,-6.7,18.0,316.0,0.9,4.7,0.0,186,,0,-3.0,1.4,,2015,1,12
13,355831A001,보령시 주교면,2015-01-13,-0.1,7.1,-5.7,5.0,329.4,1.3,5.4,0.0,0,,0,-1.0,1.3,,2015,1,13
15,355831A001,보령시 주교면,2015-01-15,3.0,8.3,-1.2,7.4,325.5,1.1,4.7,0.0,0,,0,2.3,1.4,,2015,1,15
16,355831A001,보령시 주교면,2015-01-16,3.3,5.1,0.2,67.5,283.6,2.0,12.0,0.0,0,,41,2.0,1.6,,2015,1,16
17,355831A001,보령시 주교면,2015-01-17,-1.2,1.8,-4.9,21.2,310.5,2.5,10.5,0.0,364,,0,-1.5,1.6,,2015,1,17
18,355831A001,보령시 주교면,2015-01-18,-0.3,5.4,-6.3,59.5,175.9,1.8,8.9,3.0,55,,416,-1.1,1.5,,2015,1,18
19,355831A001,보령시 주교면,2015-01-19,3.1,5.5,-0.6,35.5,299.7,1.8,9.3,0.0,0,,191,1.9,1.5,,2015,1,19
20,355831A001,보령시 주교면,2015-01-20,0.4,6.1,-4.2,13.1,317.1,0.7,4.8,0.0,97,,0,0.0,1.7,,2015,1,20
21,355831A001,보령시 주교면,2015-01-21,2.7,7.2,-0.5,63.4,334.9,1.2,5.9,4.5,0,,525,1.7,1.8,,2015,1,21
22,355831A001,보령시 주교면,2015-01-22,2.8,7.2,-1.8,41.6,311.8,1.1,6.1,1.0,0,,549,2.4,2.5,,2015,1,22
23,355831A001,보령시 주교면,2015-01-23,1.1,5.7,-3.4,24.3,190.4,0.6,5.6,0.0,114,,78,0.8,2.6,,2015,1,23
24,355831A001,보령시 주교면,2015-01-24,3.3,8.0,-0.8,6.6,213.8,0.7,4.8,0.0,0,,0,3.0,2.9,,2015,1,24
25,355831A001,보령시 주교면,2015-01-25,5.5,11.4,-0.7,62.0,149.4,1.4,7.4,2.5,0,,403,4.3,3.1,,2015,1,25
26,355831A001,보령시 주교면,2015-01-26,6.1,9.1,3.2,67.4,314.3,2.0,6.7,0.5,0,,879,5.3,4.2,,2015,1,26
27,355831A001,보령시 주교면,2015-01-27,-0.7,3.4,-5.5,17.8,314.0,2.5,7.0,0.0,300,,0,-0.6,3.8,,2015,1,27
28,355831A001,보령시 주교면,2015-01-28,-3.1,1.3,-6.9,12.9,323.9,1.3,7.4,0.0,64,,0,-3.3,2.7,,2015,1,28
30,355831A001,보령시 주교면,2015-01-30,-0.5,2.6,-3.4,12.5,311.5,2.6,10.7,0.0,107,,0,-0.9,1.9,,2015,1,30
31,355831A001,보령시 주교면,2015-01-31,-3.5,1.3,-8.2,19.4,317.6,1.3,6.0,0.0,344,,0,-3.5,1.8,,2015,1,31
