no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,031004A002,천안시 성환읍,2017-01-01,2.8,9.2,-1.1,84.1,96.1,1.5,4.7,0.0,,6.5,0,2.0,0.9,,2017,1,1
2,031004A002,천안시 성환읍,2017-01-02,4.6,10.8,0.4,88.0,266.1,2.0,7.5,0.0,,6.4,926,4.1,1.8,,2017,1,2
3,031004A002,천안시 성환읍,2017-01-03,1.0,7.7,-4.0,86.6,259.3,1.4,6.6,0.0,,7.9,1117,1.0,2.5,,2017,1,3
4,031004A002,천안시 성환읍,2017-01-04,2.4,9.0,-2.3,81.9,217.1,1.4,5.7,0.0,,7.7,596,2.1,2.6,,2017,1,4
5,031004A002,천안시 성환읍,2017-01-05,2.9,8.1,-2.5,76.5,81.7,2.3,7.4,0.0,,4.6,593,2.0,2.6,,2017,1,5
6,031004A002,천안시 성환읍,2017-01-06,4.9,11.0,-0.6,73.6,94.9,1.6,4.9,0.0,,7.1,331,4.1,3.6,,2017,1,6
7,031004A002,천안시 성환읍,2017-01-07,2.5,9.8,-2.8,82.2,91.1,1.1,3.6,0.0,,7.7,1015,2.2,3.2,,2017,1,7
8,031004A002,천안시 성환읍,2017-01-08,6.1,12.3,0.7,73.6,268.9,2.1,5.8,0.0,,7.6,526,5.6,3.9,,2017,1,8
9,031004A002,천안시 성환읍,2017-01-09,2.9,5.3,-2.4,75.4,267.9,3.6,9.3,0.0,,7.5,728,2.7,4.4,,2017,1,9
10,031004A002,천안시 성환읍,2017-01-10,-2.2,2.3,-6.3,68.0,275.3,2.5,9.4,0.0,,7.8,529,-2.3,2.5,,2017,1,10
11,031004A002,천안시 성환읍,2017-01-11,-3.9,1.5,-9.5,67.5,238.3,1.6,8.7,0.0,,9.2,562,-3.7,1.6,,2017,1,11
12,031004A002,천안시 성환읍,2017-01-12,-1.6,1.9,-5.7,75.2,268.1,1.8,9.0,1.5,,4.9,906,-2.1,1.3,,2017,1,12
13,031004A002,천안시 성환읍,2017-01-13,-5.4,-1.1,-9.7,66.8,291.2,2.5,11.1,0.0,,6.8,27,-5.1,1.1,,2017,1,13
14,031004A002,천안시 성환읍,2017-01-14,-7.0,-4.0,-10.2,46.5,291.1,3.4,11.6,0.0,,11.0,0,-6.7,0.7,,2017,1,14
15,031004A002,천안시 성환읍,2017-01-15,-7.7,-1.3,-13.7,59.8,270.1,1.6,8.0,0.0,,11.0,0,-7.0,0.1,,2017,1,15
16,031004A002,천안시 성환읍,2017-01-16,-6.2,2.9,-12.8,66.4,100.6,1.0,3.7,0.0,,11.2,190,-5.5,-0.5,,2017,1,16
17,031004A002,천안시 성환읍,2017-01-17,-4.6,2.9,-10.5,70.9,124.0,0.9,4.1,0.0,,7.2,278,-4.3,-0.6,,2017,1,17
18,031004A002,천안시 성환읍,2017-01-18,-1.6,4.8,-6.8,83.9,114.8,1.0,6.0,0.0,,6.0,829,-1.6,-0.3,,2017,1,18
19,031004A002,천안시 성환읍,2017-01-19,-1.4,3.5,-3.7,83.4,255.9,1.1,4.9,0.0,,6.9,698,-0.6,-0.1,,2017,1,19
20,031004A002,천안시 성환읍,2017-01-20,-4.1,-1.7,-11.2,80.7,284.8,3.2,10.7,0.0,,7.3,602,-4.5,0.0,,2017,1,20
21,031004A002,천안시 성환읍,2017-01-21,-4.8,1.0,-12.9,84.9,169.4,1.8,5.6,2.0,,8.4,314,-4.2,-0.1,,2017,1,21
22,031004A002,천안시 성환읍,2017-01-22,-6.7,-1.4,-12.6,65.3,285.4,3.4,10.8,0.0,,10.3,107,-7.3,-0.1,,2017,1,22
23,031004A002,천안시 성환읍,2017-01-23,-10.4,-4.5,-16.8,73.6,267.1,1.8,7.9,0.0,,11.5,0,-10.1,-0.7,,2017,1,23
24,031004A002,천안시 성환읍,2017-01-24,-9.2,-1.3,-16.1,73.7,233.0,1.4,5.3,0.0,,11.5,95,-8.6,-1.2,,2017,1,24
25,031004A002,천안시 성환읍,2017-01-25,-7.4,1.0,-15.0,73.5,225.4,1.2,5.9,0.5,,11.7,372,-6.8,-1.2,,2017,1,25
26,031004A002,천안시 성환읍,2017-01-26,-3.4,4.3,-12.0,74.1,125.1,1.3,5.8,0.0,,9.6,176,-3.2,-1.1,,2017,1,26
27,031004A002,천안시 성환읍,2017-01-27,-1.0,4.9,-6.9,64.1,269.1,3.9,47.4,47.0,,7.8,301,-0.9,-0.2,,2017,1,27
28,031004A002,천안시 성환읍,2017-01-28,-2.4,5.2,-9.6,65.1,90.3,1.2,4.1,0.0,,11.6,7,-2.1,-0.6,,2017,1,28
29,031004A002,천안시 성환읍,2017-01-29,1.1,2.9,-0.1,79.7,86.7,1.4,5.3,3.5,,1.0,779,0.6,-0.2,,2017,1,29
30,031004A002,천안시 성환읍,2017-01-30,-4.3,0.0,-10.9,78.6,275.1,3.2,9.2,0.0,,11.8,201,-4.0,0.1,,2017,1,30
31,031004A002,천안시 성환읍,2017-01-31,-7.3,-1.2,-12.9,73.7,219.1,1.1,4.4,1.5,,11.3,337,-6.2,0.1,,2017,1,31
