no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,233852A002,정선군 임계면,2018-01-01,-4.9,0.5,-12.1,39.1,259.8,1.8,8.9,0.0,498.0,10.9,0,-4.5,,,2018,1,1
2,233852A002,정선군 임계면,2018-01-02,-3.1,2.2,-7.9,42.1,269.0,2.9,10.8,0.0,488.0,9.4,0,-3.0,,,2018,1,2
3,233852A002,정선군 임계면,2018-01-03,-7.2,-0.6,-15.3,50.0,263.8,1.6,8.1,0.0,500.0,10.9,0,-6.3,,,2018,1,3
4,233852A002,정선군 임계면,2018-01-04,-7.6,0.7,-16.1,69.6,163.9,0.4,8.6,0.0,372.0,8.6,0,-6.3,,,2018,1,4
5,233852A002,정선군 임계면,2018-01-05,-4.8,1.8,-10.1,66.0,264.7,1.9,7.6,0.0,425.0,9.4,0,-3.9,,,2018,1,5
6,233852A002,정선군 임계면,2018-01-06,-4.9,1.2,-9.4,55.1,267.3,2.5,11.4,0.0,503.0,11.0,0,-4.3,,,2018,1,6
7,233852A002,정선군 임계면,2018-01-07,-4.7,4.2,-15.1,52.3,266.1,1.1,5.9,0.0,278.0,7.9,0,-3.9,,,2018,1,7
8,233852A002,정선군 임계면,2018-01-08,-0.4,3.3,-3.8,70.9,263.4,2.0,9.9,0.5,81.0,5.3,611,0.1,,,2018,1,8
9,233852A002,정선군 임계면,2018-01-09,-6.2,-3.2,-8.3,53.8,264.5,5.9,21.0,0.0,491.0,10.6,23,-6.2,,,2018,1,9
10,233852A002,정선군 임계면,2018-01-10,-8.6,-6.4,-10.5,64.6,262.2,3.1,18.8,0.0,252.0,6.4,0,-7.9,,,2018,1,10
11,233852A002,정선군 임계면,2018-01-11,-11.8,-8.4,-15.8,47.0,260.6,4.0,9.7,0.0,510.0,11.5,0,-9.9,,,2018,1,11
12,233852A002,정선군 임계면,2018-01-12,-13.4,-7.7,-18.1,52.8,258.5,3.2,9.1,0.0,516.0,11.7,0,-12.1,,,2018,1,12
13,233852A002,정선군 임계면,2018-01-13,-8.4,-0.8,-13.9,62.7,260.7,2.2,9.8,0.0,459.0,10.3,0,-7.7,,,2018,1,13
14,233852A002,정선군 임계면,2018-01-14,-5.5,3.0,-16.6,67.3,261.8,2.9,12.7,0.0,510.0,11.4,27,-4.3,,,2018,1,14
15,233852A002,정선군 임계면,2018-01-15,2.9,7.6,-1.6,57.3,259.6,3.5,11.5,0.0,356.0,9.3,0,3.0,,,2018,1,15
16,233852A002,정선군 임계면,2018-01-16,1.1,4.9,-2.4,73.8,261.1,1.5,7.2,0.5,164.0,5.0,487,1.0,,,2018,1,16
17,233852A002,정선군 임계면,2018-01-17,1.3,3.1,-0.3,90.9,255.2,1.0,10.1,4.0,0.0,2.7,1218,1.3,,,2018,1,17
18,233852A002,정선군 임계면,2018-01-18,1.1,3.8,-1.6,60.9,256.2,3.1,21.4,0.0,106.0,6.3,0,1.1,,,2018,1,18
19,233852A002,정선군 임계면,2018-01-19,-1.3,4.0,-5.0,55.2,265.6,1.4,6.7,0.0,525.0,11.4,0,-0.8,,,2018,1,19
20,233852A002,정선군 임계면,2018-01-20,-3.0,1.8,-8.0,66.5,261.2,1.6,8.7,0.0,337.0,7.8,0,-2.9,,,2018,1,20
21,233852A002,정선군 임계면,2018-01-21,-4.8,4.0,-11.5,70.0,217.1,0.5,6.7,0.0,478.0,10.3,0,-4.0,,,2018,1,21
22,233852A002,정선군 임계면,2018-01-22,-3.0,2.3,-7.5,79.1,269.1,1.5,7.6,0.0,105.0,6.6,0,-2.0,,,2018,1,22
23,233852A002,정선군 임계면,2018-01-23,-11.4,-2.6,-16.2,47.0,262.8,4.7,13.8,0.0,533.0,13.1,0,-10.5,,,2018,1,23
24,233852A002,정선군 임계면,2018-01-24,-16.0,-12.2,-19.6,35.6,264.6,4.0,11.1,0.0,533.0,13.2,0,-15.0,,,2018,1,24
25,233852A002,정선군 임계면,2018-01-25,-15.3,-9.2,-19.4,45.5,262.1,3.4,9.0,0.0,515.0,12.7,0,-14.3,,,2018,1,25
26,233852A002,정선군 임계면,2018-01-26,-16.0,-10.0,-20.3,46.8,262.0,3.0,8.3,0.0,537.0,13.4,0,-14.7,,,2018,1,26
27,233852A002,정선군 임계면,2018-01-27,-11.1,-0.1,-20.4,46.9,266.4,2.4,6.9,0.0,539.0,13.2,0,-10.2,,,2018,1,27
28,233852A002,정선군 임계면,2018-01-28,-6.8,-2.3,-10.6,38.9,265.4,3.9,12.1,0.0,457.0,11.3,0,-6.0,,,2018,1,28
29,233852A002,정선군 임계면,2018-01-29,-10.8,-6.6,-13.8,34.6,266.9,3.5,19.4,0.0,543.0,13.2,0,-9.9,,,2018,1,29
30,233852A002,정선군 임계면,2018-01-30,-9.0,-2.3,-15.6,54.2,260.6,2.9,11.8,0.0,521.0,13.2,0,-7.7,,,2018,1,30
31,233852A002,정선군 임계면,2018-01-31,-4.4,-1.2,-6.5,54.1,263.1,2.5,9.0,0.0,220.0,7.9,0,-4.0,,,2018,1,31
