no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,026002D003,태백시 매봉산,2023-01-01,-5.8,-2.1,-8.4,52.0,265.9,6.0,20.8,0.0,,11.7,0,-4.8,-1.3,1.9,2023,1,1
2,026002D003,태백시 매봉산,2023-01-02,-8.5,-4.3,-11.5,29.0,261.6,3.2,13.5,0.0,,12.0,0,-7.1,-1.8,1.3,2023,1,2
3,026002D003,태백시 매봉산,2023-01-03,-9.0,-4.9,-12.0,30.2,271.2,4.1,13.5,0.0,,12.5,0,-8.0,-2.4,0.9,2023,1,3
4,026002D003,태백시 매봉산,2023-01-04,-8.7,-5.1,-11.9,34.4,272.1,4.8,15.5,0.0,,12.1,0,-8.1,-2.9,0.6,2023,1,4
5,026002D003,태백시 매봉산,2023-01-05,-6.5,-2.8,-9.0,47.7,271.5,4.8,16.8,0.0,,12.0,0,-6.5,-2.8,0.7,2023,1,5
6,026002D003,태백시 매봉산,2023-01-06,-4.1,0.3,-7.8,40.1,271.5,2.5,8.6,0.0,,11.6,0,-4.3,-2.4,0.8,2023,1,6
7,026002D003,태백시 매봉산,2023-01-07,-5.3,-2.8,-8.3,82.8,265.7,4.3,15.2,0.0,,6.2,461,-4.9,-1.6,1.1,2023,1,7
8,026002D003,태백시 매봉산,2023-01-08,-3.7,0.8,-8.6,43.9,268.2,3.6,11.7,0.0,,11.4,0,-4.0,-1.6,1.1,2023,1,8
9,026002D003,태백시 매봉산,2023-01-09,-1.4,1.6,-6.0,80.4,273.0,3.4,15.6,0.0,,8.1,455,-0.7,-1.2,1.5,2023,1,9
10,026002D003,태백시 매봉산,2023-01-10,-1.5,4.3,-6.6,49.6,268.0,1.4,8.7,0.0,,13.2,0,-1.1,-1.0,1.9,2023,1,10
11,026002D003,태백시 매봉산,2023-01-11,0.8,4.7,-2.7,24.2,267.6,3.7,12.0,0.0,,12.3,0,0.6,-1.0,1.8,2023,1,11
12,026002D003,태백시 매봉산,2023-01-12,4.9,9.7,0.7,22.5,261.3,1.7,9.2,0.0,,11.3,0,3.2,-0.9,2.0,2023,1,12
13,026002D003,태백시 매봉산,2023-01-13,7.7,9.3,5.9,88.2,248.8,2.7,13.7,14.0,,2.1,1399,6.2,-0.4,19.2,2023,1,13
14,026002D003,태백시 매봉산,2023-01-14,-0.5,6.2,-4.1,92.7,127.0,1.6,6.3,2.5,,1.4,709,-0.3,-0.2,27.8,2023,1,14
15,026002D003,태백시 매봉산,2023-01-15,-4.1,-1.3,-6.2,91.5,136.7,0.3,3.3,0.5,,1.0,149,-1.1,-0.2,27.9,2023,1,15
16,026002D003,태백시 매봉산,2023-01-16,-8.8,-6.0,-11.7,83.3,283.1,1.8,8.5,0.0,,3.9,0,-1.0,-0.2,25.6,2023,1,16
17,026002D003,태백시 매봉산,2023-01-17,-9.0,-7.0,-11.4,49.2,267.5,3.0,15.1,0.0,,9.1,0,-2.0,-0.2,21.6,2023,1,17
18,026002D003,태백시 매봉산,2023-01-18,-8.6,-5.3,-10.3,60.8,270.1,2.9,12.2,0.0,,12.5,0,-2.5,-0.2,19.2,2023,1,18
19,026002D003,태백시 매봉산,2023-01-19,-7.4,-4.1,-10.4,55.8,272.1,4.1,13.4,0.5,,12.7,0,-3.8,-0.2,19.0,2023,1,19
20,026002D003,태백시 매봉산,2023-01-20,-8.8,-4.6,-13.2,53.2,266.0,6.1,22.2,0.0,,14.0,0,-3.6,-0.2,17.7,2023,1,20
21,026002D003,태백시 매봉산,2023-01-21,-10.0,-6.3,-15.0,27.1,275.5,2.3,7.5,0.0,,14.1,0,-4.7,-0.2,16.6,2023,1,21
22,026002D003,태백시 매봉산,2023-01-22,-5.4,-2.5,-7.8,53.3,251.2,0.5,5.6,0.5,,7.4,0,-2.8,-0.2,15.7,2023,1,22
23,026002D003,태백시 매봉산,2023-01-23,-4.9,-2.1,-8.7,65.3,269.7,3.4,13.1,0.0,,12.5,0,-2.5,-0.2,14.8,2023,1,23
24,026002D003,태백시 매봉산,2023-01-24,-18.5,-8.7,-23.9,52.9,270.1,5.2,16.7,0.0,,14.6,0,-5.8,-0.2,13.8,2023,1,24
25,026002D003,태백시 매봉산,2023-01-25,-18.2,-12.7,-25.0,40.0,261.5,3.7,14.3,0.0,,14.7,0,-6.9,-0.2,12.7,2023,1,25
26,026002D003,태백시 매봉산,2023-01-26,-11.2,-8.3,-15.5,76.4,266.4,3.2,13.0,0.0,,7.3,18,-3.5,-0.3,9.8,2023,1,26
27,026002D003,태백시 매봉산,2023-01-27,-13.9,-11.4,-17.6,61.7,265.8,4.3,18.7,0.0,,14.8,0,-4.6,-0.4,8.0,2023,1,27
28,026002D003,태백시 매봉산,2023-01-28,-14.7,-10.1,-19.4,56.2,263.7,4.6,18.4,0.0,,14.6,0,-6.4,-0.5,6.4,2023,1,28
29,026002D003,태백시 매봉산,2023-01-29,-10.0,-6.4,-14.2,72.8,265.9,4.6,16.1,0.0,,12.7,0,-4.6,-0.7,5.0,2023,1,29
30,026002D003,태백시 매봉산,2023-01-30,-8.8,-5.6,-11.9,57.3,269.9,3.8,15.9,0.0,,15.1,0,-3.1,-0.7,4.9,2023,1,30
31,026002D003,태백시 매봉산,2023-01-31,-4.3,-0.9,-9.6,47.4,262.2,3.9,15.5,0.0,,14.1,0,-2.9,-0.6,4.9,2023,1,31
