no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,695909B001,제주시 상귀길,2023-01-01,4.6,8.5,0.3,72.9,,0.0,5.8,0.0,,6.2,0,4.4,,,2023,1,1
2,695909B001,제주시 상귀길,2023-01-02,2.8,5.0,1.4,67.9,,0.0,6.9,0.0,,6.7,0,3.4,,,2023,1,2
3,695909B001,제주시 상귀길,2023-01-03,3.5,5.6,2.2,66.5,,0.0,6.6,0.0,,5.1,0,3.7,,,2023,1,3
4,695909B001,제주시 상귀길,2023-01-04,3.3,6.4,0.6,73.4,,0.0,5.5,0.0,,12.3,0,4.5,,,2023,1,4
5,695909B001,제주시 상귀길,2023-01-05,5.0,10.4,0.5,75.2,,0.0,4.7,0.0,,8.8,0,5.3,,,2023,1,5
6,695909B001,제주시 상귀길,2023-01-06,6.6,10.3,1.9,76.0,,0.0,8.7,1.5,,4.8,242,6.6,,,2023,1,6
7,695909B001,제주시 상귀길,2023-01-07,5.6,9.0,1.4,63.6,,0.0,11.0,0.0,,11.2,80,6.3,,,2023,1,7
8,695909B001,제주시 상귀길,2023-01-08,5.4,12.7,-0.2,68.8,,0.0,4.3,0.0,,12.0,0,6.6,,,2023,1,8
9,695909B001,제주시 상귀길,2023-01-09,8.2,14.4,1.4,80.5,,0.0,6.5,0.0,,5.2,0,7.6,,,2023,1,9
10,695909B001,제주시 상귀길,2023-01-10,6.5,13.6,1.5,73.9,,0.0,7.5,0.0,,12.4,0,6.8,,,2023,1,10
11,695909B001,제주시 상귀길,2023-01-11,8.1,13.3,3.8,74.7,,0.0,4.7,0.0,,12.6,0,9.0,,,2023,1,11
12,695909B001,제주시 상귀길,2023-01-12,11.2,15.9,3.9,73.3,,0.0,14.4,1.5,,3.9,624,9.9,,,2023,1,12
13,695909B001,제주시 상귀길,2023-01-13,15.5,18.2,12.9,96.1,,0.0,15.5,48.0,,1.5,1305,15.6,,,2023,1,13
14,695909B001,제주시 상귀길,2023-01-14,9.0,13.0,6.5,100.0,,0.0,4.8,3.5,,1.2,1433,9.9,,,2023,1,14
15,695909B001,제주시 상귀길,2023-01-15,3.6,6.8,1.2,87.7,,0.0,8.6,5.0,,0.7,558,4.0,,,2023,1,15
16,695909B001,제주시 상귀길,2023-01-16,0.9,1.6,0.4,74.4,,0.0,9.7,0.0,,1.7,0,1.1,,,2023,1,16
17,695909B001,제주시 상귀길,2023-01-17,1.9,2.6,0.5,75.9,,0.0,6.1,0.0,,1.1,0,1.8,,,2023,1,17
18,695909B001,제주시 상귀길,2023-01-18,3.5,5.4,2.3,70.2,,0.0,6.4,0.0,,3.6,0,3.7,,,2023,1,18
19,695909B001,제주시 상귀길,2023-01-19,4.5,6.4,3.5,67.3,,0.0,5.7,0.0,,4.3,0,4.9,,,2023,1,19
20,695909B001,제주시 상귀길,2023-01-20,3.5,7.7,-0.1,66.1,,0.4,10.5,0.0,,5.6,0,4.0,,,2023,1,20
21,695909B001,제주시 상귀길,2023-01-21,0.6,2.8,-1.1,76.0,,0.0,5.3,0.0,,5.8,0,1.6,,,2023,1,21
22,695909B001,제주시 상귀길,2023-01-22,4.6,8.0,-1.2,78.2,,0.0,11.7,3.5,,2.4,737,4.0,,,2023,1,22
23,695909B001,제주시 상귀길,2023-01-23,5.6,8.1,2.6,77.0,,0.0,9.5,0.5,,7.1,540,5.9,,,2023,1,23
24,695909B001,제주시 상귀길,2023-01-24,-3.6,2.6,-6.2,76.7,,0.0,17.8,0.0,,4.2,0,-3.3,,,2023,1,24
25,695909B001,제주시 상귀길,2023-01-25,-3.3,0.0,-5.6,76.3,,0.0,12.4,0.5,,12.6,0,-1.9,,,2023,1,25
26,695909B001,제주시 상귀길,2023-01-26,3.6,7.4,-0.5,72.8,,0.0,5.4,2.5,,7.4,227,4.1,,,2023,1,26
27,695909B001,제주시 상귀길,2023-01-27,0.2,3.7,-3.0,86.6,,0.0,15.2,1.0,,3.8,204,0.3,,,2023,1,27
28,695909B001,제주시 상귀길,2023-01-28,-0.5,2.4,-3.1,76.2,,0.0,11.3,1.5,,4.0,122,-0.8,,,2023,1,28
29,695909B001,제주시 상귀길,2023-01-29,3.9,5.9,1.7,65.5,,0.0,6.6,2.5,,3.6,0,2.9,,,2023,1,29
30,695909B001,제주시 상귀길,2023-01-30,3.5,5.9,-0.3,61.4,,0.0,8.1,0.0,,14.4,0,4.5,,,2023,1,30
31,695909B001,제주시 상귀길,2023-01-31,5.1,11.2,-2.1,64.4,,0.0,7.4,0.0,,15.4,0,5.3,,,2023,1,31
