no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,063532F013,서귀포 창천리,2023-01-01,6.2,10.5,2.8,62.1,311.9,0.8,7.9,0.0,,8.7,,,,,2023,1,1
2,063532F013,서귀포 창천리,2023-01-02,3.8,6.6,1.8,57.4,338.7,2.2,11.2,0.0,,11.8,,,,,2023,1,2
3,063532F013,서귀포 창천리,2023-01-03,4.2,7.8,2.2,57.8,306.8,1.3,9.5,0.0,,10.8,,,,,2023,1,3
4,063532F013,서귀포 창천리,2023-01-04,5.4,9.8,1.7,49.6,321.7,0.7,7.2,0.0,,10.6,,,,,2023,1,4
5,063532F013,서귀포 창천리,2023-01-05,6.1,12.4,0.0,65.8,287.9,0.2,5.4,0.0,,8.8,,,,,2023,1,5
6,063532F013,서귀포 창천리,2023-01-06,7.7,10.6,2.1,66.9,272.0,0.2,5.5,0.5,,3.3,,,,,2023,1,6
7,063532F013,서귀포 창천리,2023-01-07,6.7,9.7,3.0,54.1,281.9,1.9,11.5,0.0,,10.5,,,,,2023,1,7
8,063532F013,서귀포 창천리,2023-01-08,6.1,14.2,-2.5,62.0,246.6,0.1,4.0,0.0,,10.6,,,,,2023,1,8
9,063532F013,서귀포 창천리,2023-01-09,7.7,15.6,2.2,77.8,304.5,0.8,8.5,0.0,,6.4,,,,,2023,1,9
10,063532F013,서귀포 창천리,2023-01-10,7.8,14.1,0.7,52.5,101.9,0.3,6.9,0.0,,11.2,,,,,2023,1,10
11,063532F013,서귀포 창천리,2023-01-11,8.8,14.9,3.7,69.5,104.6,0.1,3.5,0.0,,10.8,,,,,2023,1,11
12,063532F013,서귀포 창천리,2023-01-12,12.9,15.8,6.1,91.8,107.9,0.4,8.7,11.0,,3.4,,,,,2023,1,12
13,063532F013,서귀포 창천리,2023-01-13,16.0,17.1,14.7,100.0,158.3,0.7,11.4,56.5,,1.5,,,,,2023,1,13
14,063532F013,서귀포 창천리,2023-01-14,12.7,18.3,8.3,89.8,327.0,0.7,10.1,1.5,,7.3,,,,,2023,1,14
15,063532F013,서귀포 창천리,2023-01-15,4.5,8.3,1.9,82.9,312.7,2.3,12.3,2.5,,2.5,,,,,2023,1,15
16,063532F013,서귀포 창천리,2023-01-16,1.6,2.7,0.7,66.9,314.7,1.9,11.8,0.0,,3.6,,,,,2023,1,16
17,063532F013,서귀포 창천리,2023-01-17,2.6,4.5,0.7,67.7,321.2,0.9,8.4,0.0,,5.3,,,,,2023,1,17
18,063532F013,서귀포 창천리,2023-01-18,4.6,8.3,2.8,61.3,333.4,0.3,5.8,0.0,,9.1,,,,,2023,1,18
19,063532F013,서귀포 창천리,2023-01-19,5.3,8.7,3.9,60.4,291.5,0.2,5.5,0.0,,5.6,,,,,2023,1,19
20,063532F013,서귀포 창천리,2023-01-20,4.5,7.8,0.1,57.6,311.3,1.3,12.6,0.0,,10.9,,,,,2023,1,20
21,063532F013,서귀포 창천리,2023-01-21,2.6,7.6,-0.4,67.1,329.3,0.4,7.3,0.0,,8.1,,,,,2023,1,21
22,063532F013,서귀포 창천리,2023-01-22,6.0,8.7,-0.5,77.2,70.8,0.2,7.2,1.0,,2.8,,,,,2023,1,22
23,063532F013,서귀포 창천리,2023-01-23,6.6,10.1,2.5,70.9,341.5,1.3,10.9,0.5,,9.8,,,,,2023,1,23
24,063532F013,서귀포 창천리,2023-01-24,-3.0,3.5,-5.5,70.8,295.0,2.3,13.8,0.5,,4.4,,,,,2023,1,24
25,063532F013,서귀포 창천리,2023-01-25,-2.1,1.9,-5.3,66.6,315.2,0.2,11.5,3.5,,12.6,,,,,2023,1,25
26,063532F013,서귀포 창천리,2023-01-26,3.8,8.3,0.1,70.3,270.3,0.1,7.3,0.0,,8.5,,,,,2023,1,26
27,063532F013,서귀포 창천리,2023-01-27,1.2,4.0,-2.2,77.2,292.2,1.4,12.2,3.0,,7.8,,,,,2023,1,27
28,063532F013,서귀포 창천리,2023-01-28,0.3,2.7,-2.1,69.6,294.2,0.6,9.1,3.5,,7.3,,,,,2023,1,28
29,063532F013,서귀포 창천리,2023-01-29,4.3,7.5,2.4,61.4,267.0,0.2,6.1,0.0,,3.8,,,,,2023,1,29
30,063532F013,서귀포 창천리,2023-01-30,4.5,8.0,-0.3,51.8,306.7,0.3,6.5,0.0,,13.4,,,,,2023,1,30
31,063532F013,서귀포 창천리,2023-01-31,5.7,12.2,-2.6,68.0,,0.0,4.4,0.0,,12.3,,,,,2023,1,31
