no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,209802A001,화천군 화천읍,2013-01-01,-11.2,-4.0,-19.2,88.2,99.9,0.5,7.9,0.0,0.0,3.6,59,-1.3,-3.9,,2013,1,1
2,209802A001,화천군 화천읍,2013-01-02,-9.6,-4.3,-17.9,46.3,147.0,2.5,15.0,0.0,0.0,11.2,0,-1.2,-4.2,,2013,1,2
3,209802A001,화천군 화천읍,2013-01-03,-12.2,-8.1,-22.9,55.7,93.2,0.9,5.2,0.0,118.0,10.1,0,-1.9,-5.7,,2013,1,3
4,209802A001,화천군 화천읍,2013-01-04,-14.3,-6.1,-23.1,73.8,96.5,0.5,3.5,0.5,55.0,9.9,4,-2.0,-5.6,,2013,1,4
5,209802A001,화천군 화천읍,2013-01-05,-21.6,-19.2,-23.5,84.6,93.8,0.5,1.8,0.0,0.0,0.0,0,-2.4,-7.7,,2013,1,5
11,209802A001,화천군 화천읍,2013-01-11,-7.4,-1.8,-11.7,84.2,95.0,0.6,3.2,0.0,211.0,5.6,34,-1.9,-4.2,,2013,1,11
12,209802A001,화천군 화천읍,2013-01-12,-6.0,-0.4,-13.1,90.7,112.2,0.5,3.5,0.0,0.0,1.4,694,-1.4,-3.3,,2013,1,12
13,209802A001,화천군 화천읍,2013-01-13,-8.6,2.5,-15.2,87.2,98.5,0.5,3.7,0.0,2.0,5.6,333,-1.4,-3.8,,2013,1,13
14,209802A001,화천군 화천읍,2013-01-14,-9.5,2.8,-16.9,83.4,105.2,0.8,10.9,0.0,236.0,8.4,270,-1.5,-4.5,,2013,1,14
15,209802A001,화천군 화천읍,2013-01-15,-9.6,1.1,-16.8,84.4,98.4,0.6,3.7,0.0,238.0,7.4,106,-1.7,-4.8,,2013,1,15
16,209802A001,화천군 화천읍,2013-01-16,-5.8,2.0,-12.4,82.3,147.0,0.7,10.6,0.5,170.0,6.5,306,-1.3,-3.4,,2013,1,16
17,209802A001,화천군 화천읍,2013-01-17,-6.0,2.6,-11.9,76.5,138.9,0.6,7.7,0.5,331.0,9.2,49,-1.2,-3.4,,2013,1,17
18,209802A001,화천군 화천읍,2013-01-18,-10.5,-0.5,-16.6,78.1,119.4,0.6,6.5,0.0,302.0,10.2,0,-1.6,-5.3,,2013,1,18
19,209802A001,화천군 화천읍,2013-01-19,-4.9,5.2,-11.8,76.6,126.9,0.6,7.8,0.5,328.0,9.0,0,-1.4,-3.3,,2013,1,19
20,209802A001,화천군 화천읍,2013-01-20,-4.9,4.3,-13.1,83.4,109.8,0.6,3.3,0.0,174.0,7.4,74,-1.3,-3.6,,2013,1,20
21,209802A001,화천군 화천읍,2013-01-21,0.3,1.9,-1.8,96.2,117.7,0.2,2.1,3.5,0.0,0.8,1199,-0.7,-1.0,,2013,1,21
22,209802A001,화천군 화천읍,2013-01-22,2.1,5.7,0.8,94.7,151.2,0.2,3.1,10.0,0.0,4.7,706,-0.4,-0.2,,2013,1,22
23,209802A001,화천군 화천읍,2013-01-23,1.6,3.0,-0.3,94.2,201.5,0.5,6.5,3.5,0.0,3.1,831,-0.3,-0.2,,2013,1,23
24,209802A001,화천군 화천읍,2013-01-24,-1.1,2.5,-7.1,72.1,131.2,2.3,19.4,1.5,0.0,3.9,433,-0.2,-1.5,,2013,1,24
25,209802A001,화천군 화천읍,2013-01-25,-11.6,-6.9,-17.9,51.2,130.2,1.6,13.7,0.0,90.0,12.9,0,-0.8,-5.1,,2013,1,25
26,209802A001,화천군 화천읍,2013-01-26,-14.2,-4.6,-21.4,68.7,90.8,0.7,5.6,0.0,367.0,12.6,0,-1.8,-5.8,,2013,1,26
27,209802A001,화천군 화천읍,2013-01-27,-13.5,-3.5,-21.2,74.6,122.4,0.6,6.7,0.5,410.0,12.0,0,-2.1,-5.8,,2013,1,27
28,209802A001,화천군 화천읍,2013-01-28,-9.4,-0.7,-19.8,76.4,108.9,0.5,4.1,0.0,213.0,10.0,0,-2.1,-4.9,,2013,1,28
29,209802A001,화천군 화천읍,2013-01-29,-0.5,1.3,-2.7,90.1,93.5,0.3,2.3,0.5,0.0,3.2,724,-1.0,-1.4,,2013,1,29
30,209802A001,화천군 화천읍,2013-01-30,1.8,6.2,-1.4,92.0,108.0,0.4,3.0,3.5,27.0,4.6,1187,-0.6,-0.5,,2013,1,30
31,209802A001,화천군 화천읍,2013-01-31,2.4,9.1,-1.2,90.7,114.8,0.4,3.2,0.0,195.0,9.5,1074,-0.4,-0.3,,2013,1,31
