no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,340861A001,예산군 신암면,2012-01-01,-1.9,0.6,-7.6,74.3,250.3,1.2,,0.5,9,32.6,,-1.3,,,2012,1,1
2,340861A001,예산군 신암면,2012-01-02,-5.0,0.5,-9.8,75.7,57.6,0.2,,0.0,10,39.8,,-2.6,,,2012,1,2
3,340861A001,예산군 신암면,2012-01-03,-3.9,1.9,-7.3,81.6,215.5,0.7,,0.0,10,39.9,,-1.5,,,2012,1,3
4,340861A001,예산군 신암면,2012-01-04,-4.6,-0.6,-6.5,68.2,220.8,1.0,,0.0,10,39.6,,-1.9,,,2012,1,4
5,340861A001,예산군 신암면,2012-01-05,-4.7,0.1,-8.6,66.1,93.2,0.4,,0.0,10,40.0,,-1.6,,,2012,1,5
6,340861A001,예산군 신암면,2012-01-06,-3.4,3.3,-8.5,62.7,210.9,0.7,,0.0,10,39.5,,-1.5,,,2012,1,6
7,340861A001,예산군 신암면,2012-01-07,-5.6,1.7,-12.1,68.4,68.5,0.2,,0.0,10,38.5,,-2.6,,,2012,1,7
8,340861A001,예산군 신암면,2012-01-08,-4.5,2.1,-11.4,75.2,101.0,0.3,,0.0,10,39.9,,-1.9,,,2012,1,8
9,340861A001,예산군 신암면,2012-01-09,-1.7,3.0,-6.4,78.7,199.1,0.2,,0.0,0,35.8,,-0.9,,,2012,1,9
10,340861A001,예산군 신암면,2012-01-10,-0.9,4.3,-4.6,55.0,249.4,0.7,,0.0,10,39.5,,0.3,,,2012,1,10
11,340861A001,예산군 신암면,2012-01-11,-4.5,-1.3,-10.0,58.0,224.9,1.1,,0.0,10,39.7,,-2.4,,,2012,1,11
12,340861A001,예산군 신암면,2012-01-12,-4.9,2.2,-11.6,71.1,208.8,1.1,,0.0,10,38.2,,-1.6,,,2012,1,12
13,340861A001,예산군 신암면,2012-01-13,-1.6,4.9,-6.0,68.3,205.3,1.2,,0.0,10,34.0,,-1.3,,,2012,1,13
14,340861A001,예산군 신암면,2012-01-14,-2.8,4.4,-9.9,61.8,178.3,0.4,,0.0,10,39.1,,-0.8,,,2012,1,14
15,340861A001,예산군 신암면,2012-01-15,-2.5,2.4,-5.7,55.4,93.4,0.3,,0.0,9,39.2,,-1.4,,,2012,1,15
16,340861A001,예산군 신암면,2012-01-16,-1.5,7.0,-9.6,64.2,92.0,0.3,,0.0,10,38.8,,-0.7,,,2012,1,16
17,340861A001,예산군 신암면,2012-01-17,-0.3,8.2,-5.2,74.0,64.1,0.3,,0.0,10,39.5,,0.0,,,2012,1,17
18,340861A001,예산군 신암면,2012-01-18,0.4,6.1,-5.4,59.6,82.1,0.4,,0.0,10,39.8,,0.6,,,2012,1,18
19,340861A001,예산군 신암면,2012-01-19,1.4,4.7,-2.5,85.6,44.1,0.4,,2.0,0,21.4,,0.8,,,2012,1,19
20,340861A001,예산군 신암면,2012-01-20,3.4,6.8,1.4,82.9,35.6,0.1,,1.0,0,16.0,,2.1,,,2012,1,20
21,340861A001,예산군 신암면,2012-01-21,1.3,4.7,-2.2,83.4,222.9,0.2,,1.0,10,23.9,,1.2,,,2012,1,21
22,340861A001,예산군 신암면,2012-01-22,-4.9,-1.8,-8.5,56.4,236.0,0.9,,0.0,10,37.6,,-1.5,,,2012,1,22
23,340861A001,예산군 신암면,2012-01-23,-7.4,-3.0,-10.9,56.7,192.8,1.3,,0.0,10,37.8,,-3.6,,,2012,1,23
24,340861A001,예산군 신암면,2012-01-24,-7.5,-1.6,-13.5,55.4,88.0,0.6,,0.0,10,38.5,,-3.8,,,2012,1,24
25,340861A001,예산군 신암면,2012-01-25,-6.7,-1.5,-11.6,65.3,222.7,1.0,,0.0,10,39.3,,-3.1,,,2012,1,25
26,340861A001,예산군 신암면,2012-01-26,-3.9,3.5,-11.6,72.8,196.8,1.9,,0.5,10,39.6,,-2.3,,,2012,1,26
27,340861A001,예산군 신암면,2012-01-27,-0.5,6.2,-7.0,79.5,199.1,0.7,,0.0,10,38.8,,-0.6,,,2012,1,27
28,340861A001,예산군 신암면,2012-01-28,-1.4,4.0,-5.6,41.7,75.1,0.5,,0.0,10,39.1,,-0.2,,,2012,1,28
29,340861A001,예산군 신암면,2012-01-29,-2.1,3.6,-6.5,40.6,219.5,0.8,,0.0,10,39.6,,-1.2,,,2012,1,29
30,340861A001,예산군 신암면,2012-01-30,-4.2,0.9,-8.9,36.6,183.6,0.8,,0.0,10,39.2,,-2.2,,,2012,1,30
31,340861A001,예산군 신암면,2012-01-31,-4.3,2.4,-11.6,71.3,200.1,1.4,,0.0,10,39.7,,-2.3,,,2012,1,31
