no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year
1,520943A002,,2014-01-01,1.9,9.7,-4.0,79.4,,,,0.0,,11.0,1380,1.4,3.5,,2014
2,520943A002,,2014-01-02,0.6,9.9,-5.2,76.7,,,,0.0,,9.1,1430,0.4,3.3,,2014
3,520943A002,,2014-01-03,1.4,11.7,-5.0,72.4,,,,0.0,,8.0,0,1.3,3.2,,2014
4,520943A002,,2014-01-04,1.1,6.3,-4.8,74.6,,,,0.0,,12.4,80,1.1,3.6,,2014
5,520943A002,,2014-01-05,-1.4,7.2,-7.5,74.7,,,,0.0,,12.1,820,-1.4,3.0,,2014
6,520943A002,,2014-01-06,-1.0,8.4,-6.9,76.2,,,,0.0,,11.7,670,-0.8,2.7,,2014
7,520943A002,,2014-01-07,1.3,9.5,-5.8,73.3,,,,0.0,,8.2,720,1.5,2.7,,2014
8,520943A002,,2014-01-08,2.9,5.2,0.1,76.7,,,,2.0,,3.3,1410,2.5,3.7,,2014
9,520943A002,,2014-01-09,-2.3,0.3,-7.8,53.9,,,,0.0,,12.6,0,-2.1,2.7,,2014
10,520943A002,,2014-01-10,-3.3,3.6,-8.9,75.6,,,,0.0,,10.4,1350,-2.1,1.9,,2014
11,520943A002,,2014-01-11,-1.4,6.0,-6.4,79.8,,,,0.0,,10.3,1380,-0.9,2.0,,2014
12,520943A002,,2014-01-12,0.2,7.5,-5.2,76.3,,,,0.0,,7.7,1380,0.6,2.1,,2014
13,520943A002,,2014-01-13,-2.3,1.4,-6.4,51.5,,,,0.0,,13.1,0,-2.1,2.1,,2014
14,520943A002,,2014-01-14,-2.3,4.0,-8.5,50.3,,,,0.0,,12.8,180,-2.3,1.6,,2014
15,520943A002,,2014-01-15,-2.9,5.2,-8.7,71.6,,,,0.0,,12.8,1380,-2.5,1.4,,2014
16,520943A002,,2014-01-16,-2.4,6.4,-8.9,75.7,,,,0.0,,11.4,1380,-1.8,1.3,,2014
17,520943A002,,2014-01-17,-1.2,7.4,-7.6,81.4,,,,0.0,,9.7,1380,-0.7,1.3,,2014
18,520943A002,,2014-01-18,0.1,5.2,-4.5,76.1,,,,0.0,,6.7,662,-0.1,1.4,,2014
19,520943A002,,2014-01-19,-2.0,5.6,-8.7,69.2,,,,0.0,,13.5,396,-1.2,1.4,,2014
20,520943A002,,2014-01-20,1.7,7.3,-2.1,79.0,,,,1.0,,7.8,497,1.7,1.9,,2014
21,520943A002,,2014-01-21,-1.4,0.6,-3.2,79.8,,,,0.5,,6.8,5,-1.4,1.9,,2014
22,520943A002,,2014-01-22,-2.0,4.5,-7.1,77.7,,,,0.0,,13.6,22,-1.3,1.9,,2014
23,520943A002,,2014-01-23,-2.3,7.0,-8.6,76.5,,,,0.0,,13.9,82,-1.4,1.9,,2014
24,520943A002,,2014-01-24,3.8,13.0,-5.0,81.7,,,,0.0,,7.8,240,3.5,2.6,,2014
25,520943A002,,2014-01-25,8.2,13.0,0.0,85.1,,,,1.5,,5.4,417,7.6,4.6,,2014
26,520943A002,,2014-01-26,1.1,6.3,-6.3,63.9,,,,0.0,,15.1,0,1.3,4.2,,2014
27,520943A002,,2014-01-27,-0.9,9.7,-8.6,75.1,,,,0.0,,14.7,183,-0.2,3.1,,2014
28,520943A002,,2014-01-28,1.3,9.4,-5.6,78.4,,,,0.0,,10.9,183,1.5,3.2,,2014
29,520943A002,,2014-01-29,2.1,13.7,-8.7,75.5,,,,2.5,,13.0,225,2.5,3.1,,2014
30,520943A002,,2014-01-30,6.3,9.2,0.3,98.4,,,,1.0,,0.9,1438,5.7,4.9,,2014
31,520943A002,,2014-01-31,2.9,12.8,-4.0,84.1,,,,0.0,,13.1,771,3.8,4.8,,2014
32,520943A002,,2014-02-01,8.8,19.9,-0.3,90.7,,,,0.5,,6.9,984,8.2,5.6,,2014
33,520943A002,,2014-02-02,9.6,13.5,6.1,97.6,,,,0.5,,4.1,588,9.7,8.0,,2014
34,520943A002,,2014-02-03,2.6,6.5,-2.6,65.7,,,,0.0,,10.1,0,2.8,6.5,,2014
35,520943A002,,2014-02-04,-3.3,-0.3,-5.3,54.5,,,,0.0,,15.8,0,-2.6,3.4,,2014
36,520943A002,,2014-02-05,-2.2,2.4,-5.2,41.6,,,,0.0,,8.3,0,-1.4,2.3,,2014
37,520943A002,,2014-02-06,0.6,5.6,-3.2,62.2,,,,0.5,,6.8,120,1.2,2.6,,2014
38,520943A002,,2014-02-07,3.6,7.6,-0.1,67.3,,,,0.5,,4.7,238,3.7,3.5,,2014
39,520943A002,,2014-02-08,2.8,4.3,1.1,93.3,,,,4.5,,2.5,1101,3.0,4.3,,2014
40,520943A002,,2014-02-09,0.6,2.9,-1.3,76.4,,,,0.0,,8.2,0,0.9,3.7,,2014
41,520943A002,,2014-02-10,0.9,4.9,-3.0,79.0,,,,0.0,,9.1,0,1.3,3.2,,2014
42,520943A002,,2014-02-11,2.7,7.9,-0.3,68.9,,,,0.0,,15.1,0,3.9,4.2,,2014
43,520943A002,,2014-02-12,2.0,7.4,-3.0,77.0,,,,0.0,,13.0,0,3.0,4.9,,2014
44,520943A002,,2014-02-13,2.3,8.4,-3.6,70.1,,,,0.0,,10.5,24,2.7,4.2,,2014
45,520943A002,,2014-02-14,3.1,9.1,-2.5,63.6,,,,0.0,,13.4,0,3.5,4.6,,2014
46,520943A002,,2014-02-15,0.7,9.6,-6.2,71.0,,,,0.0,,17.6,0,1.4,4.3,,2014
47,520943A002,,2014-02-16,2.6,11.8,-5.7,77.1,,,,0.0,,12.1,65,3.3,4.3,,2014
48,520943A002,,2014-02-17,5.1,8.4,2.6,83.9,,,,2.5,,2.7,718,4.8,5.3,,2014
49,520943A002,,2014-02-18,3.3,7.5,-2.3,77.3,,,,0.0,,8.6,594,3.5,5.1,,2014
50,520943A002,,2014-02-19,1.6,8.8,-3.8,71.1,,,,0.0,,15.8,48,2.4,4.7,,2014
51,520943A002,,2014-02-20,0.6,8.3,-5.9,76.3,,,,0.0,,16.4,59,1.5,4.5,,2014
52,520943A002,,2014-02-21,-0.1,8.1,-6.4,67.6,,,,0.0,,19.2,4,0.3,4.0,,2014
53,520943A002,,2014-02-22,1.5,10.2,-6.3,65.2,,,,0.0,,16.9,7,1.7,3.9,,2014
54,520943A002,,2014-02-23,2.3,11.8,-5.6,67.5,,,,0.0,,15.6,48,2.8,4.3,,2014
55,520943A002,,2014-02-24,3.3,14.0,-5.3,69.2,,,,0.0,,15.7,25,3.8,4.8,,2014
56,520943A002,,2014-02-25,4.7,15.4,-3.8,72.1,,,,0.0,,13.9,95,5.2,5.3,,2014
57,520943A002,,2014-02-26,6.9,11.3,2.6,85.9,,,,1.0,,4.5,575,6.7,6.1,,2014
58,520943A002,,2014-02-27,6.5,13.1,1.7,84.3,,,,0.0,,14.4,720,7.5,7.2,,2014
59,520943A002,,2014-02-28,5.9,11.7,2.5,85.3,,,,0.0,,8.2,0,6.9,7.2,,2014
60,520943A002,,2014-03-01,5.4,7.3,2.2,94.8,,,,4.5,,1.8,1118,5.6,7.1,,2014
61,520943A002,,2014-03-02,3.9,10.4,-0.9,72.2,,,,0.0,,19.3,358,4.3,6.3,,2014
62,520943A002,,2014-03-03,3.8,13.1,-3.2,66.8,,,,0.0,,18.7,147,4.9,6.2,,2014
63,520943A002,,2014-03-04,4.2,11.4,-2.5,72.0,,,,0.0,,8.1,224,4.3,6.1,,2014
64,520943A002,,2014-03-05,3.2,7.9,-0.7,54.1,,,,0.0,,21.1,0,3.6,5.6,,2014
65,520943A002,,2014-03-06,1.1,7.3,-5.4,52.5,,,,0.0,,17.1,10,1.7,4.7,,2014
66,520943A002,,2014-03-07,1.6,7.5,-3.8,54.3,,,,0.0,,21.2,95,2.3,4.8,,2014
67,520943A002,,2014-03-08,0.3,8.7,-7.2,69.4,,,,0.0,,15.7,0,1.3,4.6,,2014
68,520943A002,,2014-03-09,1.2,8.2,-4.4,72.1,,,,0.0,,14.1,173,1.8,4.5,,2014
69,520943A002,,2014-03-10,0.4,8.2,-7.7,67.3,,,,0.0,,22.4,0,1.4,4.4,,2014
70,520943A002,,2014-03-11,2.5,14.5,-6.8,64.5,,,,0.0,,19.6,87,3.5,4.8,,2014
71,520943A002,,2014-03-12,6.1,11.7,-2.8,92.4,,,,30.5,,2.0,828,5.8,5.6,,2014
72,520943A002,,2014-03-13,5.4,8.6,3.4,94.6,,,,0.0,,2.1,848,5.3,6.6,,2014
73,520943A002,,2014-03-14,3.0,8.7,-1.2,84.8,,,,1.0,,15.7,702,3.6,5.9,,2014
74,520943A002,,2014-03-15,5.2,14.2,-2.8,83.0,,,,0.0,,20.4,573,6.0,6.1,,2014
75,520943A002,,2014-03-16,8.1,17.6,0.1,87.4,,,,0.0,,19.7,820,9.3,7.9,,2014
76,520943A002,,2014-03-17,11.5,19.9,3.7,89.8,,,,1.0,,12.7,962,12.1,9.5,,2014
77,520943A002,,2014-03-18,11.0,15.5,5.1,89.8,,,,0.5,,12.8,535,11.7,10.9,,2014
78,520943A002,,2014-03-19,8.8,15.1,2.4,82.4,,,,0.0,,9.6,388,9.7,9.7,,2014
79,520943A002,,2014-03-20,6.9,10.5,3.9,72.4,,,,0.0,,18.6,0,7.8,9.4,,2014
80,520943A002,,2014-03-21,5.0,10.4,-1.6,68.0,,,,0.0,,22.7,143,5.6,7.8,,2014
81,520943A002,,2014-03-22,5.1,15.0,-3.5,80.3,,,,0.0,,21.4,768,6.4,7.7,,2014
82,520943A002,,2014-03-23,6.7,17.1,-0.2,76.7,,,,0.0,,19.5,709,8.3,8.9,,2014
83,520943A002,,2014-03-24,8.5,18.2,-2.5,74.8,,,,0.0,,19.4,654,9.7,9.0,,2014
84,520943A002,,2014-03-25,13.1,15.0,11.1,91.0,,,,22.0,,1.6,676,12.6,10.7,,2014
85,520943A002,,2014-03-26,12.7,17.2,9.1,97.4,,,,20.5,,7.5,1092,13.0,11.9,,2014
86,520943A002,,2014-03-27,10.6,19.3,5.7,87.0,,,,0.0,,17.3,726,12.2,12.1,,2014
87,520943A002,,2014-03-28,13.3,23.6,4.6,75.5,,,,0.0,,18.7,624,14.2,12.4,,2014
88,520943A002,,2014-03-29,14.9,16.8,13.3,97.5,,,,16.5,,2.4,960,14.5,13.2,,2014
89,520943A002,,2014-03-30,12.5,16.8,6.1,90.5,,,,0.5,,20.6,612,13.4,13.7,,2014
90,520943A002,,2014-03-31,10.2,20.3,4.6,87.5,,,,0.0,,17.6,830,11.6,12.8,,2014
91,520943A002,,2014-04-01,11.1,22.5,2.6,78.1,,,,0.0,,23.0,744,12.7,12.8,,2014
92,520943A002,,2014-04-02,11.1,21.0,3.6,73.3,,,,0.0,,22.2,699,12.5,13.0,,2014
93,520943A002,,2014-04-03,8.9,17.7,3.3,76.5,,,,0.0,,17.7,486,10.1,12.2,,2014
94,520943A002,,2014-04-04,7.4,11.5,3.8,64.9,,,,0.0,,24.6,0,8.6,10.7,,2014
95,520943A002,,2014-04-05,6.2,11.6,3.1,70.9,,,,0.0,,19.8,54,7.5,10.5,,2014
96,520943A002,,2014-04-06,6.9,13.1,2.0,58.3,,,,0.0,,25.6,4,7.8,9.5,,2014
