no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,441707D001,수원시 서둔동,2016-01-01,0.9,5.1,-4.4,81.0,197.5,0.6,9.8,0.0,,5.5,199,1.3,1.2,,2016,1,1
2,441707D001,수원시 서둔동,2016-01-02,5.2,9.5,1.0,80.9,189.5,0.7,5.3,0.0,,4.9,0,4.6,2.0,,2016,1,2
3,441707D001,수원시 서둔동,2016-01-03,5.4,9.8,1.8,91.0,254.2,0.4,4.0,0.0,,5.2,104,5.7,3.3,,2016,1,3
4,441707D001,수원시 서둔동,2016-01-04,3.4,5.8,-0.8,60.7,293.5,2.6,8.6,0.0,,9.5,0,3.9,3.7,,2016,1,4
5,441707D001,수원시 서둔동,2016-01-05,-1.5,1.0,-4.1,42.7,312.9,2.1,7.6,0.0,,8.5,0,-0.4,2.4,,2016,1,5
6,441707D001,수원시 서둔동,2016-01-06,-1.0,2.4,-5.0,60.4,289.6,1.4,5.6,0.0,,6.1,0,0.1,1.8,,2016,1,6
7,441707D001,수원시 서둔동,2016-01-07,-2.3,1.3,-5.9,55.4,285.2,2.0,7.2,0.0,,10.8,1,-1.2,1.6,,2016,1,7
8,441707D001,수원시 서둔동,2016-01-08,-2.4,1.6,-7.2,55.8,303.4,1.5,9.9,0.0,,11.0,0,-1.3,1.3,,2016,1,8
9,441707D001,수원시 서둔동,2016-01-09,-0.6,2.1,-3.5,59.5,308.7,1.9,7.7,0.0,,9.2,0,0.4,1.2,,2016,1,9
10,441707D001,수원시 서둔동,2016-01-10,1.1,4.4,-2.4,49.5,325.9,1.7,6.5,0.0,,9.9,0,1.8,1.2,,2016,1,10
11,441707D001,수원시 서둔동,2016-01-11,-2.3,0.9,-4.6,38.8,328.2,1.7,6.2,0.0,,11.4,0,-1.2,1.1,,2016,1,11
12,441707D001,수원시 서둔동,2016-01-12,-4.4,0.0,-9.4,53.2,279.3,1.7,7.6,0.0,,11.5,0,-2.9,0.8,,2016,1,12
13,441707D001,수원시 서둔동,2016-01-13,-3.6,0.3,-8.3,69.6,281.4,1.5,6.8,0.0,,7.6,179,-2.2,0.7,,2016,1,13
14,441707D001,수원시 서둔동,2016-01-14,-4.5,0.4,-11.1,62.1,272.1,0.5,6.2,2.0,,10.3,772,-3.7,0.6,,2016,1,14
15,441707D001,수원시 서둔동,2016-01-15,-0.5,4.3,-5.8,72.2,99.2,0.3,4.6,1.0,,9.7,834,0.0,0.6,,2016,1,15
16,441707D001,수원시 서둔동,2016-01-16,1.1,4.0,-2.2,68.3,93.8,0.8,3.9,0.0,,5.0,299,1.4,0.7,,2016,1,16
17,441707D001,수원시 서둔동,2016-01-17,2.5,5.8,-1.4,66.0,97.6,0.7,4.5,0.0,,4.4,10,2.2,0.8,,2016,1,17
18,441707D001,수원시 서둔동,2016-01-18,-4.7,1.3,-10.4,64.7,301.2,5.1,16.3,0.0,,9.0,117,-3.1,0.8,,2016,1,18
19,441707D001,수원시 서둔동,2016-01-19,-10.9,-8.0,-13.0,51.7,305.7,5.1,13.3,0.0,,12.8,0,-8.8,0.3,,2016,1,19
20,441707D001,수원시 서둔동,2016-01-20,-9.4,-5.6,-12.6,50.3,315.7,0.7,5.3,0.0,,9.7,0,-7.4,-0.2,,2016,1,20
21,441707D001,수원시 서둔동,2016-01-21,-6.5,-2.8,-9.9,56.1,284.4,0.9,5.8,0.0,,9.2,0,-4.4,-0.4,,2016,1,21
22,441707D001,수원시 서둔동,2016-01-22,-6.3,-2.8,-11.2,41.2,314.9,1.2,6.3,0.0,,10.0,16,-4.9,-0.6,,2016,1,22
23,441707D001,수원시 서둔동,2016-01-23,-9.5,-6.4,-14.4,41.3,321.9,4.6,12.6,0.0,,12.5,0,-7.5,-0.9,,2016,1,23
24,441707D001,수원시 서둔동,2016-01-24,-13.2,-10.2,-16.4,48.9,316.4,2.8,13.3,0.0,,12.2,0,-11.1,-1.8,,2016,1,24
25,441707D001,수원시 서둔동,2016-01-25,-9.1,-3.6,-14.8,56.2,283.6,1.0,6.7,0.0,,12.7,101,-6.9,-2.1,,2016,1,25
26,441707D001,수원시 서둔동,2016-01-26,-3.2,2.4,-6.8,74.4,248.9,0.6,8.4,0.5,,7.5,490,-1.7,-1.4,,2016,1,26
27,441707D001,수원시 서둔동,2016-01-27,-1.5,3.7,-6.2,68.9,276.2,0.8,5.7,0.0,,10.4,0,-0.8,-1.1,,2016,1,27
28,441707D001,수원시 서둔동,2016-01-28,-0.8,4.5,-7.5,62.6,90.1,0.7,4.5,0.0,,7.0,17,0.1,-1.0,,2016,1,28
29,441707D001,수원시 서둔동,2016-01-29,2.0,5.9,-2.3,53.5,68.2,1.0,5.7,0.0,,4.4,0,1.7,-0.7,,2016,1,29
30,441707D001,수원시 서둔동,2016-01-30,-0.2,5.9,-5.2,74.4,276.9,1.1,5.5,0.0,,9.8,46,0.3,-0.6,,2016,1,30
31,441707D001,수원시 서둔동,2016-01-31,-3.1,-0.6,-5.2,51.7,286.9,2.5,16.6,0.0,,11.6,0,-1.7,-0.6,,2016,1,31
