no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,390874A001,제천시 봉양읍,2019-01-01,-6.9,-0.9,-12.1,66.0,270.1,1.8,9.1,0.0,397.0,8.6,0.0,,-0.2,5.9,2019,1,1
2,390874A001,제천시 봉양읍,2019-01-02,-7.2,-0.5,-13.3,57.9,261.6,1.0,6.6,0.0,530.0,10.2,0.0,,-0.3,5.5,2019,1,2
3,390874A001,제천시 봉양읍,2019-01-03,-6.9,1.3,-13.6,56.2,255.7,0.7,4.7,0.0,534.0,10.0,0.0,,-0.5,5.1,2019,1,3
4,390874A001,제천시 봉양읍,2019-01-04,-4.9,1.9,-11.7,57.9,247.5,0.8,5.3,0.0,393.0,7.2,0.0,,-0.4,5.4,2019,1,4
5,390874A001,제천시 봉양읍,2019-01-05,-2.7,2.3,-8.4,58.3,255.0,1.5,6.7,0.0,470.0,9.2,0.0,,-0.1,6.0,2019,1,5
6,390874A001,제천시 봉양읍,2019-01-06,-5.4,2.6,-10.8,52.1,240.5,0.8,5.3,0.0,473.0,9.3,0.0,,-0.2,5.9,2019,1,6
7,390874A001,제천시 봉양읍,2019-01-07,-5.3,2.0,-11.9,61.1,255.5,0.9,6.8,0.0,449.0,9.0,0.0,,-0.2,5.4,2019,1,7
8,390874A001,제천시 봉양읍,2019-01-08,-4.5,1.2,-9.2,48.6,267.1,2.3,10.0,0.0,532.0,10.2,0.0,,-0.2,5.7,2019,1,8
9,390874A001,제천시 봉양읍,2019-01-09,-7.2,0.5,-13.8,44.0,246.4,0.9,4.4,0.0,540.0,9.0,0.0,,-0.4,5.4,2019,1,9
10,390874A001,제천시 봉양읍,2019-01-10,-3.7,2.4,-8.3,56.6,274.0,1.5,10.3,0.0,423.0,9.5,0.0,,-0.3,5.5,2019,1,10
11,390874A001,제천시 봉양읍,2019-01-11,-1.8,5.7,-7.7,68.9,105.0,0.8,3.9,0.0,407.0,8.5,0.0,,-0.1,6.1,2019,1,11
12,390874A001,제천시 봉양읍,2019-01-12,1.4,7.5,-3.8,61.5,252.1,0.8,5.5,0.0,274.0,7.4,0.0,,0.1,8.2,2019,1,12
13,390874A001,제천시 봉양읍,2019-01-13,-1.5,7.1,-7.1,74.5,215.6,0.7,4.5,0.0,362.0,8.8,0.0,,0.2,10.2,2019,1,13
14,390874A001,제천시 봉양읍,2019-01-14,-2.7,4.7,-8.3,77.2,258.0,0.6,4.0,0.0,334.0,7.9,0.0,,0.3,11.5,2019,1,14
15,390874A001,제천시 봉양읍,2019-01-15,-2.2,1.9,-8.7,72.2,273.0,2.5,9.4,0.0,127.0,5.1,0.0,,0.3,12.1,2019,1,15
16,390874A001,제천시 봉양읍,2019-01-16,-7.7,-1.8,-13.6,57.1,267.5,1.7,7.5,0.0,440.0,9.8,0.0,,0.3,10.7,2019,1,16
17,390874A001,제천시 봉양읍,2019-01-17,-2.6,3.2,-6.2,61.7,272.2,1.7,8.8,0.0,470.0,10.3,86.0,,0.2,9.9,2019,1,17
18,390874A001,제천시 봉양읍,2019-01-18,-3.0,5.4,-10.5,51.0,250.5,0.9,7.0,0.0,547.0,11.0,0.0,,0.2,9.8,2019,1,18
19,390874A001,제천시 봉양읍,2019-01-19,-0.7,7.7,-6.0,59.8,218.8,0.6,5.7,0.0,502.0,10.1,0.0,,0.3,10.0,2019,1,19
20,390874A001,제천시 봉양읍,2019-01-20,-1.3,2.5,-7.0,51.6,272.6,2.5,9.3,0.0,523.0,10.8,0.0,,0.3,11.1,2019,1,20
21,390874A001,제천시 봉양읍,2019-01-21,-3.9,1.4,-11.7,60.4,269.4,2.0,8.2,0.0,134.0,5.5,0.0,,0.4,12.0,2019,1,21
22,390874A001,제천시 봉양읍,2019-01-22,-0.4,5.4,-6.8,66.8,266.9,1.7,7.4,0.0,451.0,10.0,0.0,,0.4,11.2,2019,1,22
23,390874A001,제천시 봉양읍,2019-01-23,0.2,7.1,-4.7,59.5,271.1,1.8,9.7,0.0,470.0,9.7,0.0,,0.4,12.4,2019,1,23
24,390874A001,제천시 봉양읍,2019-01-24,-2.4,5.2,-8.9,45.2,257.3,0.9,5.7,0.0,557.0,11.2,0.0,,0.5,13.0,2019,1,24
25,390874A001,제천시 봉양읍,2019-01-25,-3.2,3.1,-8.8,41.6,269.6,1.9,10.0,0.0,556.0,11.3,0.0,,0.5,11.7,2019,1,25
26,390874A001,제천시 봉양읍,2019-01-26,-5.2,1.4,-11.0,42.0,267.5,1.5,8.2,0.0,567.0,11.9,0.0,,0.5,10.0,2019,1,26
27,390874A001,제천시 봉양읍,2019-01-27,-4.4,3.1,-12.9,55.2,253.3,1.3,6.0,0.0,543.0,11.1,0.0,,0.4,8.0,2019,1,27
28,390874A001,제천시 봉양읍,2019-01-28,-0.4,2.9,-6.9,60.5,273.0,2.9,11.4,1.0,423.0,10.6,131.0,,0.5,8.9,2019,1,28
29,390874A001,제천시 봉양읍,2019-01-29,-3.2,6.3,-10.9,52.3,207.1,1.1,4.9,0.0,562.0,12.0,0.0,,0.5,9.2,2019,1,29
30,390874A001,제천시 봉양읍,2019-01-30,-0.6,7.4,-7.5,54.7,259.3,1.2,6.8,0.0,524.0,10.6,0.0,,0.5,9.0,2019,1,30
31,390874A001,제천시 봉양읍,2019-01-31,-1.3,1.8,-7.8,60.5,266.5,1.7,7.0,0.0,161.0,4.5,0.0,,0.5,10.3,2019,1,31
