no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,689861A001,울산시 청량면,2015-01-01,-3.0,0.4,-6.6,35.6,313.0,3.2,12.6,0.0,494.0,,,,,,2015,1,1
2,689861A001,울산시 청량면,2015-01-02,-2.2,3.4,-7.9,46.2,314.2,2.4,10.9,0.0,489.0,,,,,,2015,1,2
3,689861A001,울산시 청량면,2015-01-03,-2.9,8.4,-12.0,49.1,314.0,0.6,5.4,0.0,702.0,,,,,,2015,1,3
4,689861A001,울산시 청량면,2015-01-04,1.1,12.4,-6.0,65.1,205.6,0.5,4.7,0.0,781.0,,,,,,2015,1,4
5,689861A001,울산시 청량면,2015-01-05,3.1,12.3,-6.0,81.0,163.8,0.8,5.2,0.0,,,,,,,2015,1,5
6,689861A001,울산시 청량면,2015-01-06,6.1,9.6,-2.9,56.4,323.3,2.1,9.9,10.0,927.0,,,,,,2015,1,6
7,689861A001,울산시 청량면,2015-01-07,-0.9,3.8,-5.3,32.6,323.7,2.4,9.4,0.0,474.0,,,,,,2015,1,7
8,689861A001,울산시 청량면,2015-01-08,-1.9,6.8,-8.1,47.6,327.4,1.3,6.7,0.0,520.0,,,,,,2015,1,8
9,689861A001,울산시 청량면,2015-01-09,-0.4,6.9,-7.8,59.3,313.7,1.7,9.3,0.0,930.0,,,,,,2015,1,9
10,689861A001,울산시 청량면,2015-01-10,1.0,9.0,-6.2,53.6,323.0,1.4,7.7,0.0,615.0,,,,,,2015,1,10
11,689861A001,울산시 청량면,2015-01-11,0.3,10.3,-8.2,57.3,302.9,1.5,9.7,0.0,1022.0,,,,,,2015,1,11
12,689861A001,울산시 청량면,2015-01-12,0.5,7.7,-4.0,55.7,321.8,1.8,7.0,0.0,741.0,,,,,,2015,1,12
13,689861A001,울산시 청량면,2015-01-13,0.7,11.0,-6.8,74.8,208.0,0.6,4.3,0.0,,,,,,,2015,1,13
14,689861A001,울산시 청량면,2015-01-14,3.1,6.7,-0.8,85.1,328.8,0.5,4.8,1.5,1137.0,,,,,,2015,1,14
15,689861A001,울산시 청량면,2015-01-15,4.8,9.8,-2.2,84.6,322.4,1.4,7.8,1.0,,,,,,,2015,1,15
16,689861A001,울산시 청량면,2015-01-16,3.0,11.8,-4.1,72.8,292.0,1.2,7.4,0.0,1012.0,,,,,,2015,1,16
17,689861A001,울산시 청량면,2015-01-17,1.4,6.6,-6.0,41.7,317.6,2.1,10.0,0.0,506.0,,,,,,2015,1,17
18,689861A001,울산시 청량면,2015-01-18,1.3,11.1,-7.7,38.3,225.1,1.4,6.5,0.0,500.0,,,,,,2015,1,18
19,689861A001,울산시 청량면,2015-01-19,4.7,9.4,-3.3,53.4,306.0,2.2,8.8,0.0,581.0,,,,,,2015,1,19
20,689861A001,울산시 청량면,2015-01-20,1.3,10.3,-7.2,72.2,243.6,0.8,4.9,0.0,1101.0,,,,,,2015,1,20
21,689861A001,울산시 청량면,2015-01-21,4.5,10.0,-0.6,86.5,320.7,0.5,4.3,2.0,,,,,,,2015,1,21
22,689861A001,울산시 청량면,2015-01-22,5.1,7.1,3.2,81.7,321.5,2.1,8.1,5.5,927.0,,,,,,2015,1,22
23,689861A001,울산시 청량면,2015-01-23,1.3,9.3,-4.2,76.0,224.8,0.8,5.2,0.0,,,,,,,2015,1,23
24,689861A001,울산시 청량면,2015-01-24,0.8,10.9,-6.2,78.7,320.6,0.8,6.1,0.0,,,,,,,2015,1,24
25,689861A001,울산시 청량면,2015-01-25,3.8,10.9,-4.2,83.2,207.9,0.5,4.1,0.0,,,,,,,2015,1,25
26,689861A001,울산시 청량면,2015-01-26,7.8,13.6,0.6,94.5,317.7,1.0,6.4,5.0,,,,,,,2015,1,26
27,689861A001,울산시 청량면,2015-01-27,3.3,9.4,-1.6,64.5,322.4,1.8,7.9,0.0,701.0,,,,,,2015,1,27
28,689861A001,울산시 청량면,2015-01-28,0.2,5.1,-3.8,62.7,321.7,2.1,8.3,0.0,741.0,,,,,,2015,1,28
29,689861A001,울산시 청량면,2015-01-29,1.9,6.2,-3.7,87.2,311.5,0.5,3.2,0.0,,,,,,,2015,1,29
30,689861A001,울산시 청량면,2015-01-30,3.1,7.1,-1.3,56.2,319.6,2.8,11.0,0.0,936.0,,,,,,2015,1,30
31,689861A001,울산시 청량면,2015-01-31,-1.8,5.3,-7.5,49.5,317.4,1.8,8.3,0.0,636.0,,,,,,2015,1,31
