no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,040054B002,성주군 대천리,2016-01-01,-1.8,8.6,-8.3,76.9,74.8,0.2,3.7,0.0,462.0,8.4,45.0,,2.5,,2016,1,1
2,040054B002,성주군 대천리,2016-01-02,-0.8,9.0,-6.4,81.9,88.9,0.1,2.5,0.0,217.0,6.1,49.0,,2.5,,2016,1,2
3,040054B002,성주군 대천리,2016-01-03,1.8,13.1,-5.1,81.4,69.1,0.3,3.4,0.1,467.0,8.5,149.0,,2.8,,2016,1,3
4,040054B002,성주군 대천리,2016-01-04,2.5,11.4,-3.6,69.1,91.2,0.5,6.4,0.1,454.0,8.1,39.0,,3.3,,2016,1,4
5,040054B002,성주군 대천리,2016-01-05,-0.9,5.1,-4.9,54.8,77.3,0.4,5.0,0.0,102.0,4.2,0.0,,3.1,,2016,1,5
6,040054B002,성주군 대천리,2016-01-06,0.6,5.9,-4.9,50.3,258.2,0.9,8.9,0.0,492.0,8.2,0.0,,2.7,,2016,1,6
7,040054B002,성주군 대천리,2016-01-07,1.5,5.3,-2.1,47.6,237.1,1.0,10.1,0.0,473.0,9.3,0.0,,2.7,,2016,1,7
8,040054B002,성주군 대천리,2016-01-08,-0.6,4.5,-5.6,54.1,221.8,0.8,9.7,0.0,462.0,9.2,0.0,,2.6,,2016,1,8
9,040054B002,성주군 대천리,2016-01-09,-1.3,6.9,-7.7,63.3,269.2,0.6,6.9,0.0,427.0,9.4,0.0,,2.5,,2016,1,9
10,040054B002,성주군 대천리,2016-01-10,-0.8,7.1,-7.5,67.8,258.4,0.5,6.9,0.0,478.0,9.5,0.0,,2.5,,2016,1,10
11,040054B002,성주군 대천리,2016-01-11,-0.9,5.6,-6.0,47.0,89.9,0.5,6.3,0.0,491.0,8.8,0.0,,2.4,,2016,1,11
12,040054B002,성주군 대천리,2016-01-12,-3.0,5.5,-9.0,47.0,152.5,0.4,5.9,0.0,490.0,10.1,0.0,,2.1,,2016,1,12
13,040054B002,성주군 대천리,2016-01-13,-1.4,2.6,-6.4,57.8,253.4,0.9,8.0,0.0,250.0,6.8,0.0,,1.9,,2016,1,13
14,040054B002,성주군 대천리,2016-01-14,-1.7,3.5,-7.1,66.0,87.2,0.9,9.3,0.0,311.0,7.5,0.0,,1.9,,2016,1,14
15,040054B002,성주군 대천리,2016-01-15,-2.5,6.2,-8.5,71.7,75.1,0.1,2.8,0.0,236.0,6.3,0.0,,1.8,,2016,1,15
16,040054B002,성주군 대천리,2016-01-16,-1.1,6.9,-6.7,74.7,81.3,0.3,4.1,0.0,258.0,6.9,0.0,,1.9,,2016,1,16
17,040054B002,성주군 대천리,2016-01-17,0.6,4.1,-4.5,83.2,70.5,0.4,4.5,3.4,0.0,1.8,535.0,,2.1,,2016,1,17
18,040054B002,성주군 대천리,2016-01-18,-1.2,3.0,-6.5,63.6,258.7,2.6,18.3,0.0,204.0,6.0,95.0,,2.5,,2016,1,18
19,040054B002,성주군 대천리,2016-01-19,-7.1,-4.7,-9.0,46.1,242.9,3.7,19.8,0.0,474.0,9.6,0.0,,1.8,,2016,1,19
20,040054B002,성주군 대천리,2016-01-20,-6.3,-1.0,-10.8,51.2,102.7,1.0,7.5,0.0,354.0,7.2,0.0,,1.3,,2016,1,20
21,040054B002,성주군 대천리,2016-01-21,-4.8,0.4,-8.9,46.8,86.1,0.9,4.9,0.0,113.0,5.1,0.0,,1.1,,2016,1,21
22,040054B002,성주군 대천리,2016-01-22,-3.7,0.9,-10.5,35.3,103.1,1.2,6.7,0.0,458.0,8.3,0.0,,1.0,,2016,1,22
23,040054B002,성주군 대천리,2016-01-23,-6.6,-3.0,-12.0,41.2,121.9,1.4,8.5,0.0,293.0,8.3,0.0,,0.9,,2016,1,23
24,040054B002,성주군 대천리,2016-01-24,-11.3,-7.9,-15.1,57.1,266.7,1.5,11.5,0.0,489.0,10.2,0.0,,0.8,,2016,1,24
25,040054B002,성주군 대천리,2016-01-25,-7.0,-0.4,-13.5,59.6,137.8,1.3,14.0,0.0,533.0,10.8,0.0,,0.5,,2016,1,25
26,040054B002,성주군 대천리,2016-01-26,-4.2,4.5,-10.8,66.8,274.2,0.9,11.0,0.0,469.0,10.5,0.0,,0.5,,2016,1,26
27,040054B002,성주군 대천리,2016-01-27,-2.0,8.3,-8.7,62.9,161.6,0.4,4.2,0.0,491.0,9.8,0.0,,0.5,,2016,1,27
28,040054B002,성주군 대천리,2016-01-28,-1.6,2.8,-8.1,74.1,63.9,0.5,2.9,0.3,0.0,1.9,215.0,,0.5,,2016,1,28
29,040054B002,성주군 대천리,2016-01-29,0.5,1.7,-0.3,94.3,298.2,0.7,3.4,17.3,0.0,0.9,1439.0,,0.6,,2016,1,29
30,040054B002,성주군 대천리,2016-01-30,1.8,5.4,-3.2,88.3,283.4,0.6,3.4,0.9,0.0,3.3,579.0,,0.6,,2016,1,30
31,040054B002,성주군 대천리,2016-01-31,-0.9,4.1,-5.6,66.7,153.2,0.7,7.1,0.1,264.0,7.9,53.0,,0.7,,2016,1,31
