no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,017421F029,이천시 진암리,2021-01-01,-6.2,-0.1,-13.0,80.4,227.0,0.5,4.6,0.0,,8.4,106,,,,2021,1,1
2,017421F029,이천시 진암리,2021-01-02,-5.5,-0.4,-10.7,60.5,268.5,1.0,8.0,0.0,,11.1,32,,,,2021,1,2
3,017421F029,이천시 진암리,2021-01-03,-6.5,-0.8,-13.3,57.0,272.1,0.3,4.8,0.0,,8.1,0,,,,2021,1,3
4,017421F029,이천시 진암리,2021-01-04,-5.9,1.1,-13.6,62.2,302.5,0.2,3.0,0.0,,8.5,23,,,,2021,1,4
5,017421F029,이천시 진암리,2021-01-05,-4.2,-1.3,-11.4,52.7,272.2,1.4,9.4,0.0,,10.6,0,,,,2021,1,5
6,017421F029,이천시 진암리,2021-01-06,-8.8,-3.2,-16.3,61.7,219.1,1.0,9.5,0.0,,11.7,0,,,,2021,1,6
7,017421F029,이천시 진암리,2021-01-07,-13.6,-5.2,-18.2,47.1,285.9,2.8,11.7,0.0,,12.3,0,,,,2021,1,7
8,017421F029,이천시 진암리,2021-01-08,-16.2,-10.5,-22.4,56.5,282.3,0.8,8.8,0.0,,12.3,0,,,,2021,1,8
9,017421F029,이천시 진암리,2021-01-09,-13.8,-7.7,-20.8,56.3,273.2,0.7,6.8,0.0,,11.6,0,,,,2021,1,9
10,017421F029,이천시 진암리,2021-01-10,-11.6,-4.1,-19.5,63.3,334.1,0.0,2.9,0.0,,11.5,0,,,,2021,1,10
11,017421F029,이천시 진암리,2021-01-11,-10.3,-4.7,-15.9,75.9,335.2,0.0,2.7,0.0,,4.3,0,,,,2021,1,11
12,017421F029,이천시 진암리,2021-01-12,-6.5,1.8,-15.8,82.0,204.2,0.8,6.4,0.5,,8.5,472,,,,2021,1,12
13,017421F029,이천시 진암리,2021-01-13,2.8,9.3,-5.6,76.0,217.3,1.7,7.2,0.5,,9.6,945,,,,2021,1,13
14,017421F029,이천시 진암리,2021-01-14,0.5,8.1,-6.6,65.7,283.0,0.4,4.3,0.0,,10.9,662,,,,2021,1,14
15,017421F029,이천시 진암리,2021-01-15,2.4,11.3,-5.1,76.5,234.8,1.5,10.4,0.0,,3.1,207,,,,2021,1,15
16,017421F029,이천시 진암리,2021-01-16,-3.1,1.2,-7.2,67.2,255.5,2.8,7.0,0.0,,9.5,84,,,,2021,1,16
17,017421F029,이천시 진암리,2021-01-17,-6.3,-1.0,-14.0,54.8,251.7,0.9,6.5,0.0,,11.9,9,,,,2021,1,17
18,017421F029,이천시 진암리,2021-01-18,-3.2,1.8,-8.8,74.1,264.4,2.1,12.8,1.0,,3.6,962,,,,2021,1,18
19,017421F029,이천시 진암리,2021-01-19,-8.2,-2.3,-14.9,51.8,313.7,0.3,4.6,0.0,,12.7,97,,,,2021,1,19
20,017421F029,이천시 진암리,2021-01-20,-4.8,5.8,-13.2,60.4,342.9,0.1,2.4,0.0,,12.2,551,,,,2021,1,20
21,017421F029,이천시 진암리,2021-01-21,0.9,6.6,-6.5,74.1,60.6,0.2,6.4,3.0,,4.8,585,,,,2021,1,21
22,017421F029,이천시 진암리,2021-01-22,4.2,7.2,1.8,98.9,,0.0,1.4,0.5,,2.9,1430,,,,2021,1,22
23,017421F029,이천시 진암리,2021-01-23,5.6,12.1,-0.4,79.6,77.5,1.3,6.1,0.0,,6.9,819,,,,2021,1,23
24,017421F029,이천시 진암리,2021-01-24,4.4,12.2,-1.8,73.4,9.0,0.3,3.3,0.0,,12.4,703,,,,2021,1,24
25,017421F029,이천시 진암리,2021-01-25,4.1,13.3,-2.0,73.5,122.5,0.3,4.6,0.0,,11.0,466,,,,2021,1,25
26,017421F029,이천시 진암리,2021-01-26,3.4,7.2,0.2,90.5,248.8,0.9,4.7,2.0,,2.9,871,,,,2021,1,26
27,017421F029,이천시 진암리,2021-01-27,1.7,6.4,-2.0,61.4,264.9,1.1,4.5,0.0,,11.3,525,,,,2021,1,27
28,017421F029,이천시 진암리,2021-01-28,-2.9,2.7,-8.4,62.2,267.4,3.2,17.1,0.5,,6.1,184,,,,2021,1,28
29,017421F029,이천시 진암리,2021-01-29,-8.1,-3.5,-11.6,38.5,277.2,2.6,9.3,0.0,,14.2,0,,,,2021,1,29
30,017421F029,이천시 진암리,2021-01-30,-2.8,5.0,-10.1,62.0,74.0,0.7,7.0,0.0,,8.5,0,,,,2021,1,30
31,017421F029,이천시 진암리,2021-01-31,0.2,10.3,-8.0,70.9,200.5,0.3,6.0,0.0,,12.4,58,,,,2021,1,31
