stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt
660985B001,진주시 초전동,2024-10-01,21.1,28.3,15.5,70.5,11.7,1.7,7.0,0.0,,13.6,573.0,32.9,22.9,33.7
660985B001,진주시 초전동,2024-10-02,17.4,22.1,13.0,48.0,9.2,2.6,8.3,0.0,,18.1,0.0,32.5,21.3,33.2
660985B001,진주시 초전동,2024-10-03,17.2,21.8,14.4,64.2,337.3,3.4,9.1,7.0,,9.8,444.0,32.5,19.9,32.5
660985B001,진주시 초전동,2024-10-04,17.0,23.9,10.6,74.0,45.2,1.3,7.1,0.0,,19.8,736.0,32.5,20.1,32.4
660985B001,진주시 초전동,2024-10-05,17.8,25.1,10.8,73.8,30.9,1.6,7.1,0.0,,17.4,224.0,32.5,20.0,32.9
660985B001,진주시 초전동,2024-10-06,17.4,22.2,14.3,81.6,22.3,1.1,4.3,4.0,,5.6,685.0,32.5,19.8,32.9
660985B001,진주시 초전동,2024-10-07,17.1,20.2,15.2,83.5,8.5,1.1,4.8,3.5,,7.1,1302.0,32.5,19.8,33.1
660985B001,진주시 초전동,2024-10-08,17.8,25.4,12.1,75.7,47.5,1.0,5.1,0.0,,17.0,577.0,32.6,20.0,33.7
660985B001,진주시 초전동,2024-10-09,18.0,23.8,12.0,73.8,48.3,1.2,5.7,0.0,,14.9,203.0,32.5,19.7,33.9
660985B001,진주시 초전동,2024-10-10,18.3,24.9,13.8,71.2,50.2,0.9,4.4,0.0,,16.8,224.0,32.5,19.9,33.9
660985B001,진주시 초전동,2024-10-11,18.1,26.1,11.7,72.6,88.0,0.7,4.6,0.0,,17.5,349.0,32.5,19.7,33.6
660985B001,진주시 초전동,2024-10-12,17.5,25.9,11.3,75.2,48.7,0.8,4.3,0.0,,16.4,457.0,32.5,19.4,33.4
660985B001,진주시 초전동,2024-10-13,17.6,24.2,10.7,76.0,39.3,1.4,5.9,0.0,,13.7,328.0,32.4,19.0,33.1
660985B001,진주시 초전동,2024-10-14,18.7,21.5,17.0,84.1,9.5,1.3,5.8,20.5,,3.9,647.0,32.6,19.6,33.2
660985B001,진주시 초전동,2024-10-15,20.0,23.3,17.5,89.6,16.3,0.7,3.7,1.0,,5.3,1430.0,32.7,20.1,40.7
660985B001,진주시 초전동,2024-10-16,20.2,25.7,16.0,81.0,38.0,1.1,5.4,0.0,,13.6,985.0,32.7,20.4,39.5
660985B001,진주시 초전동,2024-10-17,18.6,23.2,14.5,83.3,36.6,1.2,5.1,0.0,,7.4,753.0,32.6,19.8,38.7
660985B001,진주시 초전동,2024-10-18,20.3,24.5,17.8,86.5,355.6,1.1,5.0,31.5,,3.6,675.0,32.7,20.1,39.9
660985B001,진주시 초전동,2024-10-20,14.8,17.6,13.0,60.1,14.2,3.5,8.8,0.0,,9.7,166.0,32.2,18.2,40.3
660985B001,진주시 초전동,2024-10-21,15.4,20.3,10.7,76.6,15.0,1.6,5.3,2.5,,6.7,402.0,32.3,17.7,39.4
660985B001,진주시 초전동,2024-10-22,17.9,20.1,15.8,93.2,19.3,1.3,4.0,68.0,,1.7,1346.0,32.4,17.7,43.3
660985B001,진주시 초전동,2024-10-23,17.0,20.8,9.6,62.4,345.6,2.2,9.3,0.0,,16.8,875.0,32.4,18.2,41.1
660985B001,진주시 초전동,2024-10-24,13.0,21.6,5.8,69.3,50.3,1.4,5.2,0.0,,17.0,881.0,32.0,16.4,39.8
660985B001,진주시 초전동,2024-10-25,14.7,21.1,8.0,77.1,31.2,1.3,5.2,0.0,,9.9,906.0,32.1,16.2,39.2
660985B001,진주시 초전동,2024-10-27,14.6,17.8,10.3,87.5,56.7,0.6,3.3,1.0,,4.5,1294.0,32.2,16.6,38.3
