no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,063532F013,서귀포 창천리,2022-01-01,4.8,10.6,-1.2,65.5,11.2,0.6,9.4,0.0,,11.0,,,,,2022,1,1
2,063532F013,서귀포 창천리,2022-01-02,6.4,10.9,2.7,63.5,305.3,1.2,7.8,0.0,,9.3,,,,,2022,1,2
3,063532F013,서귀포 창천리,2022-01-03,5.1,10.2,1.1,68.7,305.4,1.1,8.4,0.0,,12.4,,,,,2022,1,3
4,063532F013,서귀포 창천리,2022-01-04,5.9,10.2,3.1,60.1,325.1,1.5,8.4,0.0,,9.2,,,,,2022,1,4
5,063532F013,서귀포 창천리,2022-01-05,5.6,7.1,3.7,83.1,336.9,0.3,5.3,22.0,,1.5,,,,,2022,1,5
6,063532F013,서귀포 창천리,2022-01-06,5.2,7.9,2.8,66.0,338.4,2.1,13.6,0.5,,12.6,,,,,2022,1,6
7,063532F013,서귀포 창천리,2022-01-07,4.5,10.5,-0.7,58.7,313.8,0.5,5.0,0.0,,10.7,,,,,2022,1,7
8,063532F013,서귀포 창천리,2022-01-08,5.2,8.6,1.7,66.3,317.6,1.8,10.4,0.0,,12.6,,,,,2022,1,8
9,063532F013,서귀포 창천리,2022-01-09,6.4,10.2,4.3,64.3,326.2,1.4,7.8,0.0,,8.1,,,,,2022,1,9
10,063532F013,서귀포 창천리,2022-01-10,5.8,11.9,1.4,70.8,310.5,1.1,7.1,0.0,,9.4,,,,,2022,1,10
11,063532F013,서귀포 창천리,2022-01-11,2.1,5.8,-0.6,72.1,287.6,2.6,12.4,5.0,,7.3,,,,,2022,1,11
12,063532F013,서귀포 창천리,2022-01-12,1.9,4.5,-0.4,65.6,295.6,1.7,9.5,1.0,,5.7,,,,,2022,1,12
13,063532F013,서귀포 창천리,2022-01-13,2.4,5.3,1.0,70.6,293.7,2.2,12.8,5.5,,8.0,,,,,2022,1,13
14,063532F013,서귀포 창천리,2022-01-14,3.2,7.7,1.2,62.6,317.2,1.6,9.2,0.0,,12.4,,,,,2022,1,14
15,063532F013,서귀포 창천리,2022-01-15,5.5,10.0,2.1,67.9,298.1,0.7,6.9,0.0,,7.8,,,,,2022,1,15
16,063532F013,서귀포 창천리,2022-01-16,5.6,8.8,1.7,68.8,296.9,1.8,11.6,0.0,,10.8,,,,,2022,1,16
17,063532F013,서귀포 창천리,2022-01-17,3.6,6.2,1.6,64.0,301.2,1.9,11.1,0.0,,8.2,,,,,2022,1,17
18,063532F013,서귀포 창천리,2022-01-18,3.8,9.8,0.6,57.0,319.3,1.2,10.1,0.0,,13.7,,,,,2022,1,18
19,063532F013,서귀포 창천리,2022-01-19,3.6,9.3,-1.1,59.2,317.2,1.0,7.8,0.0,,12.9,,,,,2022,1,19
20,063532F013,서귀포 창천리,2022-01-20,2.2,4.2,0.2,60.7,315.7,2.0,9.8,0.0,,14.5,,,,,2022,1,20
21,063532F013,서귀포 창천리,2022-01-21,5.1,10.0,-1.0,65.9,90.7,0.6,5.0,0.0,,6.8,,,,,2022,1,21
22,063532F013,서귀포 창천리,2022-01-22,9.2,13.1,6.6,68.7,88.7,1.7,9.9,2.5,,8.9,,,,,2022,1,22
23,063532F013,서귀포 창천리,2022-01-23,8.8,11.1,7.0,93.6,7.3,0.1,2.7,9.5,,3.6,,,,,2022,1,23
24,063532F013,서귀포 창천리,2022-01-24,8.3,13.5,4.3,79.0,93.3,0.4,6.1,0.0,,7.9,,,,,2022,1,24
25,063532F013,서귀포 창천리,2022-01-25,7.7,10.6,5.8,83.2,309.6,0.6,5.7,0.5,,3.8,,,,,2022,1,25
26,063532F013,서귀포 창천리,2022-01-26,6.7,11.7,4.2,65.6,325.3,1.6,9.0,0.0,,12.1,,,,,2022,1,26
27,063532F013,서귀포 창천리,2022-01-27,5.2,7.8,3.0,64.8,322.8,2.0,10.0,0.0,,8.7,,,,,2022,1,27
28,063532F013,서귀포 창천리,2022-01-28,4.4,9.9,2.5,59.6,326.1,2.5,10.6,0.0,,13.2,,,,,2022,1,28
29,063532F013,서귀포 창천리,2022-01-29,3.7,8.3,2.2,55.5,326.1,2.9,11.3,0.0,,9.9,,,,,2022,1,29
30,063532F013,서귀포 창천리,2022-01-30,3.2,7.1,1.3,54.6,324.8,2.7,12.5,0.0,,13.6,,,,,2022,1,30
31,063532F013,서귀포 창천리,2022-01-31,3.6,9.5,0.5,58.1,313.4,1.3,9.1,0.0,,15.5,,,,,2022,1,31
