no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,233852A001,정선군 정선읍,2015-01-01,-8.0,-4.7,-11.1,44.4,125.7,2.3,11.4,0.0,504,1.4,0,-8.7,-1.7,,2015,1,1
2,233852A001,정선군 정선읍,2015-01-02,-6.8,-2.1,-11.3,52.6,148.4,2.1,11.6,0.0,489,1.0,0,-7.7,-2.5,,2015,1,2
3,233852A001,정선군 정선읍,2015-01-03,-5.9,0.8,-13.0,61.6,118.6,1.9,8.3,0.0,467,1.3,0,-7.0,-2.9,,2015,1,3
4,233852A001,정선군 정선읍,2015-01-04,-0.3,5.6,-5.4,79.3,94.1,1.8,7.8,0.0,425,0.8,0,-2.3,-1.8,,2015,1,4
5,233852A001,정선군 정선읍,2015-01-05,-0.6,7.9,-8.4,77.2,92.3,1.4,10.1,1.0,487,0.8,70,-1.9,-1.7,,2015,1,5
6,233852A001,정선군 정선읍,2015-01-06,0.7,3.5,-5.2,65.4,153.6,2.3,8.0,4.0,477,0.9,0,0.0,-0.6,7.8,2015,1,6
7,233852A001,정선군 정선읍,2015-01-07,-6.2,-1.3,-10.4,52.6,106.3,1.8,6.7,0.0,489,9.4,0,-6.3,-0.6,7.6,2015,1,7
8,233852A001,정선군 정선읍,2015-01-08,-7.1,0.4,-13.6,67.2,106.7,1.5,7.8,0.0,490,3.1,0,-7.4,-2.3,4.1,2015,1,8
9,233852A001,정선군 정선읍,2015-01-09,-4.4,2.7,-10.8,62.8,108.3,1.6,9.2,0.0,503,1.8,0,-5.2,-2.8,3.9,2015,1,9
10,233852A001,정선군 정선읍,2015-01-10,-2.4,3.8,-9.3,64.1,90.7,1.9,8.9,0.0,501,1.0,0,-3.2,-2.5,4.0,2015,1,10
11,233852A001,정선군 정선읍,2015-01-11,0.5,3.8,-4.1,63.6,80.4,2.5,9.6,1.0,499,0.8,106,-0.6,-1.4,4.6,2015,1,11
12,233852A001,정선군 정선읍,2015-01-12,-4.7,4.7,-11.1,72.0,184.8,0.7,3.5,0.0,511,1.3,0,-5.1,-1.8,4.2,2015,1,12
13,233852A001,정선군 정선읍,2015-01-13,-4.0,6.4,-11.4,74.9,106.8,0.7,4.1,0.0,500,2.1,0,-4.3,-2.3,4.1,2015,1,13
14,233852A001,정선군 정선읍,2015-01-14,-1.1,4.1,-6.0,74.4,269.8,0.5,2.4,0.0,441,2.6,0,-2.4,-1.6,4.4,2015,1,14
15,233852A001,정선군 정선읍,2015-01-15,1.8,6.5,-3.7,81.0,278.9,0.8,5.1,0.0,395,1.3,0,0.2,-0.9,5.4,2015,1,15
16,233852A001,정선군 정선읍,2015-01-16,-0.4,2.1,-3.7,83.2,75.3,2.8,14.8,0.0,381,3.2,0,-1.7,-0.7,6.3,2015,1,16
17,233852A001,정선군 정선읍,2015-01-17,-3.1,0.7,-6.1,54.9,144.3,1.8,11.9,0.0,513,9.2,0,-3.6,-0.8,5.7,2015,1,17
18,233852A001,정선군 정선읍,2015-01-18,-3.3,2.4,-8.8,65.9,84.0,2.0,9.2,0.0,460,3.8,0,-3.7,-1.8,4.3,2015,1,18
19,233852A001,정선군 정선읍,2015-01-19,0.8,3.1,-4.5,63.3,23.2,2.7,14.2,2.0,514,1.4,0,-1.5,-0.9,5.0,2015,1,19
20,233852A001,정선군 정선읍,2015-01-20,-2.8,5.9,-10.6,74.8,203.6,0.6,2.4,0.0,540,2.5,0,-3.0,-1.4,4.7,2015,1,20
21,233852A001,정선군 정선읍,2015-01-21,0.4,6.7,-3.6,81.5,267.5,0.5,1.9,0.0,423,1.5,0,-0.7,-0.9,5.1,2015,1,21
22,233852A001,정선군 정선읍,2015-01-22,1.3,4.4,-0.4,84.3,312.0,0.9,8.2,4.0,488,2.1,105,0.4,-0.5,6.8,2015,1,22
23,233852A001,정선군 정선읍,2015-01-23,-0.6,5.0,-6.6,74.7,94.7,1.6,7.5,0.0,532,2.0,0,-0.9,-0.5,8.0,2015,1,23
24,233852A001,정선군 정선읍,2015-01-24,-0.6,6.2,-5.5,74.9,129.9,1.2,6.6,0.0,532,1.6,0,-1.2,-0.6,7.3,2015,1,24
25,233852A001,정선군 정선읍,2015-01-25,0.0,5.9,-4.5,88.3,82.8,0.6,5.2,2.5,444,2.7,281,-1.0,-0.6,6.9,2015,1,25
26,233852A001,정선군 정선읍,2015-01-26,4.0,7.6,1.7,91.6,91.7,1.4,8.3,3.0,309,1.2,0,2.5,-0.4,9.8,2015,1,26
27,233852A001,정선군 정선읍,2015-01-27,1.2,4.2,-3.5,66.7,147.8,1.8,7.3,0.0,539,1.7,0,0.3,-0.3,12.2,2015,1,27
28,233852A001,정선군 정선읍,2015-01-28,-2.9,3.3,-7.0,73.6,214.0,1.0,4.9,0.0,540,3.8,0,-2.7,-0.3,10.8,2015,1,28
29,233852A001,정선군 정선읍,2015-01-29,-2.4,3.6,-6.8,84.7,159.5,0.6,4.7,0.0,459,3.1,0,-3.2,-0.5,7.8,2015,1,29
30,233852A001,정선군 정선읍,2015-01-30,-1.3,1.6,-6.7,62.9,256.8,1.6,12.1,1.0,547,2.8,0,-1.9,-0.5,8.4,2015,1,30
31,233852A001,정선군 정선읍,2015-01-31,-4.9,2.3,-11.0,65.6,115.9,1.1,5.0,0.0,551,4.6,0,-4.5,-1.0,5.7,2015,1,31
