no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,5908340.0,남원시 운봉읍,2018-01-01,-1.4,2.7,-5.4,64.5,224.4,1.4,8.0,0.0,509.0,5.0,0,,,,2018,1,1
2,5908340.0,남원시 운봉읍,2018-01-02,-1.0,3.8,-6.9,78.2,181.1,1.0,5.8,0.1,255.0,2.8,269,,,,2018,1,2
3,5908340.0,남원시 운봉읍,2018-01-03,-3.3,0.3,-7.2,60.6,185.6,1.3,8.2,0.0,512.0,4.9,0,,,,2018,1,3
4,5908340.0,남원시 운봉읍,2018-01-04,-3.3,0.2,-6.5,68.4,224.9,0.9,4.7,0.0,244.0,3.3,0,,,,2018,1,4
5,5908340.0,남원시 운봉읍,2018-01-05,-2.1,1.2,-4.3,66.9,195.0,1.4,6.5,0.0,411.0,4.4,0,,,,2018,1,5
6,5908340.0,남원시 운봉읍,2018-01-06,-1.9,3.5,-7.4,67.5,173.2,0.9,6.8,0.0,513.0,4.9,0,,,,2018,1,6
7,5908340.0,남원시 운봉읍,2018-01-07,-2.0,4.7,-9.0,71.0,249.2,0.9,4.7,0.0,81.0,2.2,158,,,,2018,1,7
8,5908340.0,남원시 운봉읍,2018-01-08,0.6,3.4,-1.5,97.6,179.7,1.4,12.1,4.4,0.0,0.9,1049,,,,2018,1,8
9,5908340.0,남원시 운봉읍,2018-01-09,-3.4,-1.9,-4.7,93.4,181.7,2.3,9.9,1.5,22.0,2.0,262,,,,2018,1,9
10,5908340.0,남원시 운봉읍,2018-01-10,-3.7,-3.5,-3.8,96.8,165.2,2.2,7.4,0.0,0.0,0.0,0,,,,2018,1,10
11,5908340.0,남원시 운봉읍,2018-01-11,-10.3,-3.5,-15.6,91.3,185.6,1.2,7.4,0.0,217.0,2.5,58,,,,2018,1,11
12,5908340.0,남원시 운봉읍,2018-01-12,-11.4,-6.2,-15.8,78.2,176.3,0.8,7.9,0.0,409.0,4.6,86,,,,2018,1,12
13,5908340.0,남원시 운봉읍,2018-01-13,-4.1,1.6,-11.4,81.3,167.5,0.7,5.4,1.0,272.0,4.2,144,,,,2018,1,13
14,5908340.0,남원시 운봉읍,2018-01-14,-4.9,5.1,-14.5,84.8,194.9,0.4,5.2,0.0,386.0,4.9,229,,,,2018,1,14
15,5908340.0,남원시 운봉읍,2018-01-15,3.1,7.9,-2.8,84.2,176.5,1.2,7.2,0.0,280.0,3.8,119,,,,2018,1,15
16,5908340.0,남원시 운봉읍,2018-01-16,4.2,7.7,-3.8,94.2,233.3,0.9,5.9,17.5,0.0,1.0,977,,,,2018,1,16
17,5908340.0,남원시 운봉읍,2018-01-17,2.6,3.7,1.4,99.3,214.7,0.9,6.3,5.0,49.0,1.7,821,,,,2018,1,17
18,5908340.0,남원시 운봉읍,2018-01-18,2.3,5.9,-3.0,87.4,190.1,0.7,4.7,0.1,233.0,3.4,512,,,,2018,1,18
19,5908340.0,남원시 운봉읍,2018-01-19,-0.7,5.5,-4.9,72.7,194.8,0.5,4.9,0.1,452.0,4.7,117,,,,2018,1,19
20,5908340.0,남원시 운봉읍,2018-01-20,-1.0,5.5,-6.6,77.7,197.3,0.6,5.1,0.1,481.0,4.7,233,,,,2018,1,20
21,5908340.0,남원시 운봉읍,2018-01-21,0.1,6.6,-5.7,73.2,228.0,0.4,3.6,0.0,422.0,4.0,120,,,,2018,1,21
22,5908340.0,남원시 운봉읍,2018-01-22,1.2,5.9,-2.2,83.2,185.6,1.4,11.3,3.6,130.0,2.6,428,,,,2018,1,22
23,5908340.0,남원시 운봉읍,2018-01-23,-7.6,-2.1,-11.1,69.5,210.3,2.7,9.6,0.0,409.0,4.1,0,,,,2018,1,23
24,5908340.0,남원시 운봉읍,2018-01-24,-11.3,-8.8,-14.4,61.3,196.2,1.8,9.1,0.0,530.0,5.3,0,,,,2018,1,24
25,5908340.0,남원시 운봉읍,2018-01-25,-11.0,-7.3,-14.6,55.0,186.0,1.8,7.3,0.0,465.0,5.0,0,,,,2018,1,25
26,5908340.0,남원시 운봉읍,2018-01-26,-11.5,-7.1,-15.2,62.7,180.3,1.8,8.5,0.0,532.0,5.5,0,,,,2018,1,26
27,5908340.0,남원시 운봉읍,2018-01-27,-6.0,0.4,-15.7,56.0,214.2,0.9,4.4,1.0,526.0,6.2,0,,,,2018,1,27
28,5908340.0,남원시 운봉읍,2018-01-28,-4.4,-0.1,-7.9,56.8,198.1,1.8,11.1,0.0,435.0,5.4,0,,,,2018,1,28
29,5908340.0,남원시 운봉읍,2018-01-29,-7.4,-4.0,-10.3,62.2,209.6,1.9,10.9,0.0,461.0,4.8,0,,,,2018,1,29
30,5908340.0,남원시 운봉읍,2018-01-30,-6.2,-0.8,-10.5,60.7,184.5,1.2,7.6,0.0,462.0,5.3,0,,,,2018,1,30
31,5908340.0,남원시 운봉읍,2018-01-31,-2.1,2.7,-7.0,69.8,177.8,0.8,5.8,0.0,261.0,3.7,0,,,,2018,1,31
