no,stn_Code,stn_Name,date,temp,max_Temp,min_Temp,hum,widdir,wind,max_Wind,rain,sun_Time,sun_Qy,condens_Time,gr_Temp,soil_Temp,soil_Wt,year,month,day
1,476801A001,양평군 양평읍,2014-01-01,2.8,7.9,-1.8,62.9,162.3,0.8,7.9,0.5,285.0,6.5,100.0,1.6,,,2014,1,1
2,476801A001,양평군 양평읍,2014-01-02,1.1,6.3,-3.1,41.5,166.1,0.7,4.8,0.0,532.0,10.6,0.0,0.1,,,2014,1,2
3,476801A001,양평군 양평읍,2014-01-03,0.2,5.0,-4.2,57.6,223.1,0.4,2.1,0.0,231.0,6.0,64.0,-0.4,,,2014,1,3
4,476801A001,양평군 양평읍,2014-01-04,0.1,4.8,-3.1,68.1,223.4,0.6,3.1,0.0,367.0,7.8,115.0,-0.4,,,2014,1,4
5,476801A001,양평군 양평읍,2014-01-05,-1.2,3.8,-4.6,65.4,173.7,0.5,4.9,0.0,422.0,8.2,78.0,-1.6,,,2014,1,5
6,476801A001,양평군 양평읍,2014-01-06,-1.0,5.1,-6.3,59.2,188.2,0.6,3.6,0.0,518.0,9.8,0.0,-1.3,,,2014,1,6
7,476801A001,양평군 양평읍,2014-01-07,-0.5,2.2,-3.4,66.8,184.6,0.3,4.0,0.0,0.0,3.9,0.0,-0.7,,,2014,1,7
8,476801A001,양평군 양평읍,2014-01-08,0.5,4.7,-5.2,59.4,146.1,0.6,5.5,0.0,126.0,5.3,0.0,0.6,,,2014,1,8
9,476801A001,양평군 양평읍,2014-01-09,-7.5,-3.5,-11.1,35.7,142.5,0.8,5.7,0.0,549.0,11.7,0.0,-7.7,,,2014,1,9
10,476801A001,양평군 양평읍,2014-01-10,-6.8,-1.3,-11.5,55.8,159.9,0.6,4.4,0.0,436.0,9.4,0.0,-6.5,,,2014,1,10
11,476801A001,양평군 양평읍,2014-01-11,-3.2,1.6,-7.7,59.5,167.2,0.5,4.6,0.0,363.0,8.5,4.0,-2.9,,,2014,1,11
12,476801A001,양평군 양평읍,2014-01-12,-3.0,2.8,-8.6,47.7,152.3,0.6,6.7,0.0,260.0,6.5,21.0,-3.3,,,2014,1,12
13,476801A001,양평군 양평읍,2014-01-13,-7.0,-0.4,-11.9,37.7,174.2,0.7,5.9,0.0,551.0,11.9,0.0,-6.9,,,2014,1,13
14,476801A001,양평군 양평읍,2014-01-14,-5.8,1.2,-12.2,43.2,180.4,0.6,4.2,0.0,541.0,11.1,0.0,-5.8,,,2014,1,14
15,476801A001,양평군 양평읍,2014-01-15,-4.6,2.0,-10.7,53.0,175.9,0.6,5.0,0.0,538.0,11.2,0.0,-4.6,,,2014,1,15
16,476801A001,양평군 양평읍,2014-01-16,-3.2,-0.3,-6.8,70.2,199.6,0.4,2.5,0.0,1.0,3.8,0.0,-3.1,,,2014,1,16
17,476801A001,양평군 양평읍,2014-01-17,-2.3,2.7,-6.8,69.6,205.9,0.5,3.1,0.0,390.0,7.9,296.0,-2.7,,,2014,1,17
18,476801A001,양평군 양평읍,2014-01-18,-2.7,2.4,-6.3,50.5,148.5,0.6,7.0,0.0,403.0,9.6,0.0,-3.2,,,2014,1,18
19,476801A001,양평군 양평읍,2014-01-19,-4.3,1.0,-10.0,48.6,175.9,0.6,3.9,0.0,405.0,10.2,0.0,-4.0,,,2014,1,19
20,476801A001,양평군 양평읍,2014-01-20,-2.9,-0.9,-4.6,86.8,142.0,0.4,5.1,1.5,0.0,0.7,1403.0,-2.8,,,2014,1,20
21,476801A001,양평군 양평읍,2014-01-21,-5.7,-3.2,-9.3,76.4,167.0,0.4,4.5,3.5,102.0,1.3,628.0,-5.2,,,2014,1,21
22,476801A001,양평군 양평읍,2014-01-22,-5.6,-0.5,-11.5,71.3,188.0,0.5,4.4,3.5,513.0,2.3,54.0,-5.6,,,2014,1,22
23,476801A001,양평군 양평읍,2014-01-23,-3.9,2.2,-9.6,73.3,193.5,0.5,2.6,0.0,495.0,9.3,48.0,-4.2,,,2014,1,23
24,476801A001,양평군 양평읍,2014-01-24,-0.5,3.8,-4.4,77.2,119.0,0.3,2.9,0.0,0.0,2.9,42.0,-0.9,,,2014,1,24
25,476801A001,양평군 양평읍,2014-01-25,2.2,3.4,-0.8,87.8,171.9,0.4,2.8,4.5,0.0,1.4,854.0,1.5,,,2014,1,25
26,476801A001,양평군 양평읍,2014-01-26,-1.9,3.0,-5.9,59.7,151.5,0.7,5.0,0.0,566.0,12.8,44.0,-2.0,,,2014,1,26
27,476801A001,양평군 양평읍,2014-01-27,-2.1,4.5,-8.4,57.1,171.6,0.6,3.1,0.0,521.0,11.4,0.0,-2.2,,,2014,1,27
28,476801A001,양평군 양평읍,2014-01-28,0.8,6.4,-4.0,54.8,153.9,0.8,6.0,0.0,474.0,11.6,0.0,0.9,,,2014,1,28
29,476801A001,양평군 양평읍,2014-01-29,-0.4,6.8,-8.0,48.8,189.0,0.6,3.4,0.0,481.0,12.2,0.0,-0.4,,,2014,1,29
30,476801A001,양평군 양평읍,2014-01-30,1.2,4.4,-2.5,69.9,149.8,0.4,3.7,5.0,58.0,1.5,694.0,0.5,,,2014,1,30
31,476801A001,양평군 양평읍,2014-01-31,-0.3,6.2,-5.4,40.1,184.5,0.6,3.7,0.0,552.0,11.8,0.0,-0.4,,,2014,1,31
